"ID","text"
"Health00066","glass broken and wound my leg badly the wound is so wide"
"Health00067","I have a blurry vision during my swimming training in the pool, why?"
"Health00068","I love to walk and be outside but the bottoms of my feet get sore so quickly."
"Health00069","I feel pain in my knee when I climb the stairs."
"Health00070","I get tired too fast, I can barely put on my clothes in the morning."
"Health00071","My knee hurts when I walk"
"Health00072","i can't rotate my neck"
"Health00073","My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected."
"Health00074","i have a problem in my back i cannot extend it"
"Health00075","I can't walk because i have a great foot ache"
"Health00076","My heart is beating fast and it scares me."
"Health00077","I used to have acne when I was 15 years old"
"Health00078","My muscles in my lower back are aching."
"Health00079","My shoulder muscle hurts when I try to reach up."
"Health00080","I feel heart pain when I walk a lot"
"Health00081","My hair is falling out in huge amount"
"Health00082","I feel a pain in my back"
"Health00083","My skin is itchy and inflamed"
"Health00084","i can't see well"
"Health00085","I have a cold and it makes me cough alot"
"Health00086","I have a dry throat"
"Health00087","I'm not hearing well I have problem with my ear"
"Health00088","My foot is hurting so much."
"Health00089","My shower drain is full of hair every time."
"Health00090","I have front head pain and when I get it the light bothers me."
"Health00091","Even though I'm an adult my face keeps breaking out in pimples."
"Health00092","When I get out of bed in the morning my body feels very weak."
"Health00093","My knee catches and hurts when I first stand up after sitting."
"Health00094","surgical wounds red, firing pus, painful and hot to the touch"
"Health00095","Feel like something is being jabbed into my joints"
"Health00096","The arches of my feet hurt when I wear heels"
"Health00097","I feel pain in the lower back"
"Health00098","I have a dull ache in my head"
"Health00099","The arches of my feet hurt when I wear heels"
"Health00100","I feel a pain in my neck"
"Health00101","I have a sharp pain in my neck"
"Health00102","i have pain but i can't specify place"
"Health00103","I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache."
"Health00104","I have cloudy eyes"
"Health00105","I feel joint pain every time I move"
"Health00106","i have a hard pain in my stomach"
"Health00107","My left ear is ok, but the right one feels like it's being stabbed with a nail."
"Health00108","I need a kind of cream wich make my muscles more relaxed"
"Health00109","I have a back pain since I fell on the floor."
"Health00110","I feel lightheaded"
"Health00111","My body aches on the inside between my hips and shoulders."
"Health00112","I have a foot ache after running 500m with my running shoes."
"Health00113","I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold."
"Health00114","i feel hurt, lot of pain in my heart"
"Health00115","I read a book for along time and when I finished reading I feel head ache"
"Health00116","I break out on my face very frequently"
"Health00117","I have tried to relief it but I can't"
"Health00118","I stopped sports because I get Injury from sports"
"Health00119","Every time I take a deep breath I start coughing"
"Health00120","when i extend my leg there is pain in knee joint"
"Health00121","my head hurts me badly"
"Health00122","when i was washing my hair it was falling out heavily"
"Health00123","I hate my acne."
"Health00124","My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected."
"Health00125","i have pain like needles in my joints."
"Health00126","i have a great pain in my thorax from heart injury"
"Health00127","I don't know why I'm constantly sad."
"Health00128","i feel pain in my neck"
"Health00129","My muscles feel tired"
"Health00130","I tried to put my glasses to see more clear but cant find any change"
"Health00131","i feel pain in my stomach"
"Health00132","The arches of my feet hurt when I wear heels"
"Health00133","I have a foot ache in winter, or when it feels cold, why?"
"Health00134","My back is hurting so much."
"Health00135","The pain feels like it's right below the skin"
"Health00136","I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise."
"Health00137","There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help."
"Health00138","I have a pain internal"
"Health00139","my child has cough all night, she can't sleep"
"Health00140","I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
"Health00141","When I play sports  I have some burning sensation in my spine"
"Health00142","I have a hard muscle pain since i went to the gym"
"Health00143","my hair falling out"
"Health00144","I feel joint pain every time I move"
"Health00145","I feel aching on my insides."
"Health00146","I have this strange rash on my arm."
"Health00147","My face break out badly every month around my cycle."
"Health00148","I have a lot of mucus when I cough."
"Health00149","i'm disappointed"
"Health00150","I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger."
"Health00151","I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
"Health00152","I was playing soccer and I twisted my ankle"
"Health00153","My son squeezed a pimple and it broke open only to scab over and now looks like it is infected."
"Health00154","I feel so sore in my stomach area."
"Health00155","i have shoulder pain after doing any home work."
"Health00156","laceration, rupture or opening in the skin"
"Health00157","I can't carry anything I have a pain in my shoulder"
"Health00158","How do you know if you have a torn meniscus in your knee?"
"Health00159","My head gets dizzy when I try to get up."
"Health00160","I feel pain when parting loved ones"
"Health00161","I think my wound is infected"
"Health00162","i feel dizzy after severe diarrhea"
"Health00163","there is a red stain in my skin"
"Health00164","i can't walk, my knee hurts me"
"Health00165","I feel a pain in my back"
"Health00166","My body feels weak and I tried to make it relax but it stills pain me"
"Health00167","I feel increased heart rate with prick"
"Health00168","My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy."
"Health00169","I feel increased heart rate with prick"
"Health00170","The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation."
"Health00171","i have a problem in my middle ear made by infection"
"Health00172","My television and computer seem out of focus even though I have new glasses."
"Health00173","I have a break in the skin between my thumb and index finger and it will not close."
"Health00174","When I brush my hair I notice big clumps of hair coming out in the brush."
"Health00175","I feel pain in the knee when walking"
"Health00176","I'm not feeling good I can't take my breath"
"Health00177","i can't move my shoulder because of pain"
"Health00178","I feel pain inside and I can not identify it"
"Health00179","I have an indigestion"
"Health00180","I m feeling cold though the temperature is high"
"Health00181","My body feels weak although I take my vitamins regularly."
"Health00182","i feel pain in my body"
"Health00183","The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
"Health00184","I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?"
"Health00185","I get an ear ache when it is cold"
"Health00186","My joints feel swollen"
"Health00187","When I stand I feel dizzy I do not know why"
"Health00188","I feel lightheaded"
"Health00189","My lower back hurts but it improves if I stretch it"
"Health00190","I got acne when I ate chili"
"Health00191","I could not exercise because of my knee pain"
"Health00192","I'm not hearing well I have problem with my ear"
"Health00193","A terrible fall in hair"
"Health00194","my ear hurts me badly"
"Health00195","My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal."
"Health00196","heart aches so much"
"Health00197","My throught is so sore."
"Health00198","The pain in my ear is unbearable."
"Health00199","My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing."
"Health00200","Chronic bone disease at the level of the doubles of the lower Estremidades"
"Health00201","My knees hurt so bad to walk that I stay sitting more than I should."
"Health00202","I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband."
"Health00203","My kneecap feels like it is grating bone on bone when I walk."
"Health00204","I feel suicidal."
"Health00205","I feel pain in my joint after an injury in the last football match I played."
"Health00206","I feel dizzy whenever I stand up."
"Health00207","Annoyance starts suddenly, often after an injury or exercise."
"Health00208","I feel pain in my eyes I can see fog"
"Health00209","Can't keep focus"
"Health00210","I feel fluid trying to come up when I cough."
"Health00211","My skin color on my back is red, I don't know why."
"Health00212","My left ear is ok, but the right one feels like it's being stabbed with a nail."
"Health00213","I'm suffering from sharp cough Accompanied by  phlegm"
"Health00214","When I move my shoulder, it's like lightning is being sent through my shoulder"
"Health00215","I feel a tightness in my chest"
"Health00216","My chest hurts when I smoke"
"Health00217","I have a foot ache although I don't walk a lot."
"Health00218","i feel pain in my foot"
"Health00219","I have a feeling like my whole body is complaining"
"Health00220","I had a collision while playing soccer.  My knee buckled and now it's unstable."
"Health00221","My acne gets worse when it is hot"
"Health00222","I usually have a bad cough when I get flu."
"Health00223","i was playing basketball yesterday, i have sprained ankle"
"Health00224","My chest break out with red pimples and whiteheads."
"Health00225","itch at front and center of scalp"
"Health00226","I feel pain in the lower back"
"Health00227","I have a dull ache in my head"
"Health00228","I get an ear ache when it is cold"
"Health00229","I get breakouts on my chest with red patches that get more intense when i get hot."
"Health00230","i can't ride my car at night because i have blurry vision."
"Health00231","I feel pain in the knee"
"Health00232","I can't stand with this horrible feeling in my stomach"
"Health00233","I get tired too fast, I can barely put on my clothes in the morning."
"Health00234","When I tried to be warm and wear more clothes I found that I was still cold"
"Health00235","my ankle is hurting me"
"Health00236","My knee is hurting so badly."
"Health00237","fell skull is cracked like nuts"
"Health00238","It is like I have a needle pushing through my heart."
"Health00239","My chest acne breaks out and never clears up."
"Health00240","my hair isn't well"
"Health00241","It feels like someone stuck a knife into my shoulder"
"Health00242","I feel a great amount of pressure of my head."
"Health00243","my hand open wound got infected"
"Health00244","I feel great pressure in my chest"
"Health00245","I'm not feeling good I can't take my breath"
"Health00246","i feel that it's hard to breath for me specially after running or making any effort"
"Health00247","I have an open wound in my arm"
"Health00248","i cant sleep because of cough"
"Health00249","It is hard to breath when I am in the underground metro station, why?"
"Health00250","I break out on my face very frequently"
"Health00251","can't do any exercise, i feel weak"
"Health00252","My knees hurt so bad to walk that I stay sitting more than I should."
"Health00253","My shoulder muscle hurts when I try to reach up."
"Health00254","I'm very worried that I'll go bald soon. Am I very sick?"
"Health00255","i feel that is great pain in my left shoulder"
"Health00256","I feel pain inside and I can not identify it"
"Health00257","I feel a pain in my back"
"Health00258","Is there a cure for acne?"
"Health00259","I have a pain in my muscle"
"Health00260","There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help."
"Health00261","I feel sad like hurt or pain"
"Health00262","My body feels weak although I take my vitamins regularly."
"Health00263","The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation."
"Health00264","I have found some issues in my skin and tried to use cream but it doesn't get better"
"Health00265","I have a red rash that is itchy on my skin"
"Health00266","My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal."
"Health00267","I feel pain in my neck after waking up"
"Health00268","My neck has been sore since the accident."
"Health00269","i feel hurt, lot of pain in my heart"
"Health00270","I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband."
"Health00271","It is hard to breath when I am in the underground metro station, why?"
"Health00272","I have a dull ache in my head"
"Health00273","I feel a pain on the left side of my chest, where my heart is"
"Health00274","When I wake up I am feeling cold"
"Health00275","there is acne on my face"
"Health00276","I'm not good i'm feeling so cold"
"Health00277","I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding."
"Health00278","It's hard to stand up, and I'm moving very slowly"
"Health00279","There is so much pain when I move my arm."
"Health00280","I read a book for along time and when I finished reading I feel head ache"
"Health00281","I lose a lot of my hair"
"Health00282","i have injured myself during the soccer match"
"Health00283","My television and computer seem out of focus even though I have new glasses."
"Health00284","When I wake up in the morning I feel a soreness in my body"
"Health00285","I feel a great amount of pressure of my head."
"Health00286","I feel pain in my heart when I wake up"
"Health00287","I break out on my face very frequently"
"Health00288","I have a back pain since I turned 70 years old."
"Health00289","I feel like something is squeezing my lungs."
"Health00290","My foot had been aching since last Tuesday."
"Health00291","My back hurts a lot when I bend"
"Health00292","I feel pain in the knee"
"Health00293","Everything looks like beeing in a smoky area."
"Health00294","Every time I make an effort, I felt dizzy."
"Health00295","Have severe cold and cough"
"Health00296","I feel like something is squeezing my lungs."
"Health00297","I feel pain in the knee when walking"
"Health00298","Chronic bowel Pain"
"Health00299","When I played football I dislocated my shoulder"
"Health00300","I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it."
"Health00301","I feel pain in my right shoulder after the tennis match."
"Health00302","There is this pain that radiates from my chest up to my left arm."
"Health00303","I have pimples in patches along with a lot of redness on my face."
"Health00304","i can't move my leg, there is pain in the joint"
"Health00305","I feel a tightness in my chest"
"Health00306","I have a mental suffering"
"Health00307","I feel a sharp pain in my ankle joint when I stand."
"Health00308","My head hurts in the back and the pain lasts all day."
"Health00309","What helps cuts heal faster?"
"Health00310","My knee doesn't want to bend well."
"Health00311","My knees seem to grind as I go up or down stairs."
"Health00312","When i'm awake in the morning I feel strange and have vertigo"
"Health00313","My sore isn't healing well and it's been like this for two weeks."
"Health00314","After walking I have some pain under my foot"
"Health00315","I hit myself and the would doesn't want to heal"
"Health00316","I have some pain when i'm walking around my knees"
"Health00317","When I stand up too quick my vision is blurry."
"Health00318","Sometimes I feel like a claw on my chest that leaves me breathless."
"Health00319","I suffered a deep wound in my hand and I can not stop the bleeding"
"Health00320","The severe pain in the stomach I feel"
"Health00321","There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
"Health00322","I can`t stop coughing."
"Health00323","There is an injured person"
"Health00324","It hurts when I raise my arm up"
"Health00325","I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
"Health00326","When I eat too much sugar my body gets weak and dizzy."
"Health00327","When I stand up too quick my vision is blurry."
"Health00328","My right shoulder clicks when I move my arm."
"Health00329","I have a rash and it itches very bad."
"Health00330","I have constant stomach pain and bloating."
"Health00331","My foot hurts and I can't turn it.  Maybe it's broken."
"Health00332","I knocked my foot and it really hurts."
"Health00333","My son has a lot of acne."
"Health00334","I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate."
"Health00335","I feel a tightness in my chest"
"Health00336","My stomach feels starts hurting but then it feels better after I eat something mild."
"Health00337","Chronic bone disease at the level of the doubles of the lower Estremidades"
"Health00338","My neck feels stiff"
"Health00339","I feel dizzy after doing a muscular effort."
"Health00340","I have pimples in patches along with a lot of redness on my face."
"Health00341","I feel lightheaded when I stand up"
"Health00342","I feel a burning sensation in my shoulder muscle."
"Health00343","I feel a lot of pain in the joints."
"Health00344","The acne was causing me to feel embarrassed."
"Health00345","I have a mental suffering"
"Health00346","I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband."
"Health00347","Whenever I stand up I feel dizzy."
"Health00348","I have a split on my thumb that will not heal."
"Health00349","i was playing football and injuried with joint pain."
"Health00350","I can't see the sign I have a blurry vision"
"Health00351","The pain in my ear is unbearable."
"Health00352","When I stand I feel dizzy I do not know why"
"Health00353","I have a red rash that is itchy on my skin"
"Health00354","My heart hurts while I'm sad, why?"
"Health00355","I have a headache almost every day"
"Health00356","There is a constant tickle in my throat"
"Health00357","My body aches on the inside between my hips and shoulders."
"Health00358","My throught is so sore."
"Health00359","There are lots of hairs on my pillow in the morning."
"Health00360","I have a scab on the back of my hand that just won't go away."
"Health00361","I have a very rash sensation close to my arms"
"Health00362","When i'm doing sport I have pain under my skin"
"Health00363","I hit my head at the basketball game.  Could I have a concussion?"
"Health00364","My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
"Health00365","my hair isn't well"
"Health00366","i was diagnosed with pneumonia, i can't breath easily."
"Health00367","my neck hurts me and i can't look down or up"
"Health00368","I don't do anything at home and still I feel exhausted."
"Health00369","I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk."
"Health00370","I feel lightheaded"
"Health00371","I wake up at night feeling cold"
"Health00372","When I go to sleep I am feeling cold"
"Health00373","i can't move my shoulder because of pain"
"Health00374","my back hurts me a lot"
"Health00375","Feels like there are pins and needles sticking in my joints"
"Health00376","I have internal pain whenever I come down with a cold."
"Health00377","I get breakouts on my chest with red patches that get more intense when i get hot."
"Health00378","I cough a lot when I smell perfume, what is wrong with my lungs?"
"Health00379","i can't ride my car at night because i have blurry vision."
"Health00380","I have eruptions on my face that come and go ."
"Health00381","i have a hard pain in my stomach"
"Health00382","There is a constant tickle in my throat"
"Health00383","My throught is so sore."
"Health00384","Every time I make an effort, I felt dizzy."
"Health00385","i have a very bad cough"
"Health00386","I've tried reading books, but nothing can cheer me up."
"Health00387","I feel a great pain in my shoulder joint and it does not go away"
"Health00388","I have a rash on my skin"
"Health00389","When I play football I have joint pain."
"Health00390","Severe pain in the ear"
"Health00391","What helps cuts heal faster?"
"Health00392","Chronic disease of hair follicles and sebaceous glands"
"Health00393","When I brush my hair I notice big clumps of hair coming out in the brush."
"Health00394","i feel that it's hard to breath for me specially after running or making any effort"
"Health00395","My shoulder muscle hurts when I try to reach up."
"Health00396","When I carry heavy things i feel like breaking my back"
"Health00397","I have dark spots on my skin"
"Health00398","I feel abdominal pain"
"Health00399","i walked a long for 3 km, i feel pain in my foot like foot ache"
"Health00400","I feel fluid trying to come up when I cough."
"Health00401","There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens."
"Health00402","Need to scratch my skin every minute"
"Health00403","My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
"Health00404","It hurts when I bent my arm"
"Health00405","I have pain in my stomach"
"Health00406","Stomach pain after drinking milk"
"Health00407","i feel pain in my knee"
"Health00408","The wound is still open"
"Health00409","There is an injured person"
"Health00410","When I eat sugar I notice my vision blurs."
"Health00411","I have pain in my colon and my stomach like something cutting it"
"Health00412","I feel dizzy whenever I stand up."
"Health00413","My foot hurts and I can't turn it.  Maybe it's broken."
"Health00414","My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped."
"Health00415","Even though I'm an adult my face keeps breaking out in pimples."
"Health00416","My body feels weak after my first day in the gym, why?"
"Health00417","When I play football I have joint pain."
"Health00418","It's hard to see things"
"Health00419","i have a problem in seeing objects it is too difficult to see"
"Health00420","My joints feel swollen"
"Health00421","I feel abdominal pain"
"Health00422","My cough is very heavy and I have mucus."
"Health00423","I feel strong pain in my knee after it was hit during the football match."
"Health00424","When I stand up too quickly I start to feel dizzy and light-headed"
"Health00425","I have a rash on my skin"
"Health00426","Oh my heart hurts me I tried to be calm and I can't"
"Health00427","standing less than five minutes and my back start to ache"
"Health00428","It hurts when I raise my arm up"
"Health00429","My daughter had her ears pierced and one of her ear lobes is bright red and burning hot."
"Health00430","Is pimples a skin disease?"
"Health00431","I fell off my bike and since then I had hard  knee pain"
"Health00432","When I wake up I am feeling cold"
"Health00433","I'm having a hard time reading because the letters are all fuzzy"
"Health00434","The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar."
"Health00435","My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected."
"Health00436","My son has a lot of acne."
"Health00437","I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits."
"Health00438","My cough is very heavy and I have mucus."
"Health00439","I feel abdominal pain"
"Health00440","My head is so heavy can't think normally"
"Health00441","I feel hurts in my heart"
"Health00442","i can't walk, my knee hurts me"
"Health00443","I cough a lot when I smell perfume, what is wrong with my lungs?"
"Health00444","I feel a sharp pain in the stomach after eating"
"Health00445","Since I went into the forest  I have pain on my ear"
"Health00446","My knee doesn't want to bend well."
"Health00447","I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
"Health00448","Every time I take a deep breath I start coughing"
"Health00449","i feel pain in my back"
"Health00450","Every time I make an effort, I felt dizzy."
"Health00451","I feel a tightness in my chest"
"Health00452","I feel a sharp pain in my ankle joint when I stand."
"Health00453","My stomach feels starts hurting but then it feels better after I eat something mild."
"Health00454","i have a pain in my trapes"
"Health00455","The pain in my ear is unbearable."
"Health00456","I fell a stiffness in my elbows and shoulders"
"Health00457","When I play sports  I have some burning sensation in my spine"
"Health00458","My hair is coming out in chunks, especially when I wash it"
"Health00459","When I stand up too quick my vision is blurry."
"Health00460","I have a very rash sensation close to my arms"
"Health00461","It hurts when I raise my arm up"
"Health00462","My ear is ringing."
"Health00463","I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate."
"Health00464","When I play football I have joint pain."
"Health00465","My foot hurts and I can't turn it.  Maybe it's broken."
"Health00466","When I eat too much sugar my body gets weak and dizzy."
"Health00467","I can't turn my neck to the left without feeling a stabbing pain"
"Health00468","My heart is beating fast and it scares me."
"Health00469","My wound opened up again"
"Health00470","i hit the ground when trying to shoot a basketball"
"Health00471","My son has a lot of acne."
"Health00472","I have a foot ache after running 500m with my running shoes."
"Health00473","my shoulder is hurting me"
"Health00474","Every morning when I wake up my neck feels like I slept on in wrong."
"Health00475","It's hard to stand up, and I'm moving very slowly"
"Health00476","I feel pain in my knee when I climb the stairs."
"Health00477","i feel hurt, lot of pain in my heart"
"Health00478","I feel discomfort throughout the body in general"
"Health00479","I can't sleep I have a hard cough"
"Health00480","After a breakup  I feel something strange in me."
"Health00481","i have a strong shoulder pain"
"Health00482","I can't stand with this horrible feeling in my shoulder"
"Health00483","My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected."
"Health00484","I'm in need for a treatment for my hair fall"
"Health00485","I have a lot of mucus when I cough."
"Health00486","I feel pain in my ears with tinnitus"
"Health00487","my back hurts me a lot"
"Health00488","I feel like there is something swollen and inflamed at the back of my knee."
"Health00489","I feel strong pain in my knee after it was hit during the football match."
"Health00490","There's swelling in my neck and it hurts."
"Health00491","It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs."
"Health00492","I think there's fluid in my ears."
"Health00493","Feels like there are pins and needles sticking in my joints"
"Health00494","The wound is still open"
"Health00495","When I force my eyes to view I have blurry vision."
"Health00496","My heart is pumping fast and I'm having a hard time to breath."
"Health00497","My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
"Health00498","When i'm doing sport I have pain under my skin"
"Health00499","I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate."
"Health00500","My acne itches and oozes."
"Health00501","I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns."
"Health00502","When I stand up too quick my vision is blurry."
"Health00503","When I was young I had an injury from sports in my knee."
"Health00504","I m feeling cold though the temperature is high"
"Health00505","I feel pain in my knee when I climb the stairs."
"Health00506","My biceps started aching after I went to the gym"
"Health00507","I feel cold although we are in summer."
"Health00508","Chronic disease of hair follicles and sebaceous glands"
"Health00509","I have a split on my thumb that will not heal."
"Health00510","I feel lightheaded when I stand up"
"Health00511","I have a blurry vision since I woke up this morning, what could be the reason?"
"Health00512","I tried alot of cream but i still feel the same skin problem"
"Health00513","I have a blurry vision during my swimming training in the pool, why?"
"Health00514","Annoyance starts suddenly, often after an injury or exercise."
"Health00515","I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up."
"Health00516","I have a foot ache in winter, or when it feels cold, why?"
"Health00517","glass broken and wound my leg badly the wound is so wide"
"Health00518","My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal."
"Health00519","My knee catches and hurts when I first stand up after sitting."
"Health00520","i have a hard pain in my stomach"
"Health00521","i have severe dry cough"
"Health00522","The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation."
"Health00523","I hardly have enough stength to get up,"
"Health00524","Sterilizer for the eye"
"Health00525","My shoulder aches when I try to lift five pounds."
"Health00526","i have a hard pain in my stomach"
"Health00527","I have shooting pain in my kneecap after working out."
"Health00528","My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing."
"Health00529","I have shoulder pain when I try to carry my groceries."
"Health00530","I feel weak all over."
"Health00531","The crushing sensation on my heart leaves me breathless."
"Health00532","I'm not good i'm feeling so cold"
"Health00533","My head hurts when I'm doing this."
"Health00534","When I force my eyes to view I have blurry vision."
"Health00535","It is like I have a needle pushing through my heart."
"Health00536","When I bend over I get a shooting pain down my back"
"Health00537","When I play football I have joint pain."
"Health00538","i can't breath because of  Cough"
"Health00539","There is pain in my joints. I can not bear pain"
"Health00540","My right shoulder clicks when I move my arm."
"Health00541","i have a strong shoulder pain"
"Health00542","I broke my ankle while doing rock climbing in the Carpathians."
"Health00543","I've been feeling very sad lately"
"Health00544","Feels like there are pins and needles sticking in my joints"
"Health00545","I feel pain in my ears with tinnitus"
"Health00546","i feel pain in my knee"
"Health00547","My son has a lot of acne."
"Health00548","When I go to sleep I am feeling cold"
"Health00549","I can't get a girlfriend because of my acne."
"Health00550","When I play football I have muscle pain."
"Health00551","I think I overdid it when I carried all that lumber from the yard. My lower back is killing me."
"Health00552","I feel suicidal."
"Health00553","I have a hair shortage"
"Health00554","I have pimples in patches along with a lot of redness on my face."
"Health00555","My television and computer seem out of focus even though I have new glasses."
"Health00556","The acne was causing me to feel embarrassed."
"Health00557","i am having problems seeing things feel like a cloud on my eyes everything is blurry"
"Health00558","I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus."
"Health00559","I get terrible headaches every few months and when I get them my vision is affected."
"Health00560","I have a mental suffering"
"Health00561","I have a dry skin"
"Health00562","my heart hurts me"
"Health00563","I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help"
"Health00564","I fell a stiffness in my elbows and shoulders"
"Health00565","I am having running nose"
"Health00566","i'm disappointed"
"Health00567","I got injured exercising"
"Health00568","I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache."
"Health00569","I'm suffering from sharp cough Accompanied by  phlegm"
"Health00570","I travelled by plane a few days ago and this time during landing my ears remained clogged and painful."
"Health00571","I've had this cough for two weeks."
"Health00572","I feel increased heart rate with prick"
"Health00573","My kneecap feels like it is grating bone on bone when I walk."
