"ID","text"
"Travel00061","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh."
"Travel00062","@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!"
"Travel00063","@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
"Travel00064","@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
"Travel00065","@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!"
"Travel00066","@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please."
"Travel00067","@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/"
"Travel00068","@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
"Travel00069","@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV"
"Travel00070","@VirginAmerica everything was fine until you lost my bag"
"Travel00071","@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?"
"Travel00072","@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number."
"Travel00073","@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
"Travel00074","@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt"
"Travel00075","@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
"Travel00076","@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?"
"Travel00077","@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
"Travel00078","@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks"
"Travel00079","@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you."
"Travel00080","@VirginAmerica what happened to Doom?!"
"Travel00081","@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness"
"Travel00082","@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G"
"Travel00083","@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :("
"Travel00084","@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness"
"Travel00085","@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin"
"Travel00086","@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R"
"Travel00087","@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code"
"Travel00088","@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4"
"Travel00089","@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?"
"Travel00090","@VirginAmerica Why is the site down?  When will it be back up?"
"Travel00091","@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
"Travel00092","@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
"Travel00093","@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday ."
"Travel00094","@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
"Travel00095","@VirginAmerica why is flight 345 redirected?"
"Travel00096","@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
"Travel00097","@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y"
"Travel00098","@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable"
"Travel00099","@virginamerica What is your phone number. I can't find who to call about a flight reservation."
"Travel00100","@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone."
"Travel00101","@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM"
"Travel00102","@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax"
"Travel00103","@VirginAmerica check out new music http://t.co/maRcnOCWzn"
"Travel00104","@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky"
"Travel00105","@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp."
"Travel00106","@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
"Travel00107","@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm"
"Travel00108","@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info."
"Travel00109","@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?"
"Travel00110","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
"Travel00111","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
"Travel00112","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
"Travel00113","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
"Travel00114","@VirginAmerica Have a great week 🌞✈"
"Travel00115","@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH"
"Travel00116","@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
"Travel00117","@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
"Travel00118","@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!"
"Travel00119","@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure."
"Travel00120","@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
"Travel00121","@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?"
"Travel00122","@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
"Travel00123","@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370"
"Travel00124","@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!"
"Travel00125","@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!"
"Travel00126","@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
"Travel00127","@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!"
"Travel00128","@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue"
"Travel00129","@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?"
"Travel00130","@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?"
"Travel00131","@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check."
"Travel00132","@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry"
"Travel00133","@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?"
"Travel00134","@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!"
"Travel00135","@VirginAmerica Another delayed flight? #likingyoulessandless"
"Travel00136","@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise"
"Travel00137","@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015"
"Travel00138","@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
"Travel00139","@VirginAmerica always!!! Xoxo"
"Travel00140","@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated"
"Travel00141","@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame"
"Travel00142","@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!"
"Travel00143","@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃"
"Travel00144","@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas"
"Travel00145","@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!"
"Travel00146","@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
"Travel00147","@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him."
"Travel00148","Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome."
"Travel00149","@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf"
"Travel00150",".@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy."
"Travel00151",".@VirginAmerica does that mean you don't have a policy for destroyed luggage?"
"Travel00152","@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?"
"Travel00153","@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)"
"Travel00154","@VirginAmerica is your website ever coming back online?"
"Travel00155","@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
"Travel00156","@VirginAmerica Is flight 0769 out of LGA to DFW on time?"
"Travel00157","@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?"
"Travel00158","@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait."
"Travel00159","@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!"
"Travel00160","@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
"Travel00161","@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
"Travel00162","@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
"Travel00163","@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter"
"Travel00164","@VirginAmerica is the website down?"
"Travel00165","@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2"
"Travel00166","@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers"
"Travel00167","@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2"
"Travel00168","@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh"
"Travel00169","@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!"
"Travel00170","@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx"
"Travel00171","@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
"Travel00172","@VirginAmerica Lister to my show my on Monday 1230 130"
"Travel00173","@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH"
"Travel00174","@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
"Travel00175","@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed"
"Travel00176","@VirginAmerica I'd love to know what your policy is for damaged luggage."
"Travel00177","@VirginAmerica Thank you for the follow"
"Travel00178","@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers"
"Travel00179","@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?"
"Travel00180","@VirginAmerica @TTINAC11 I DM you"
"Travel00181","@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭"
"Travel00182","@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!"
"Travel00183","@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?"
"Travel00184","😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt"
"Travel00185","@VirginAmerica Only way to fly! #Elevate #Gold"
"Travel00186","@VirginAmerica If only you guys had flights from CMH."
"Travel00187","@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
"Travel00188","@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever"
"Travel00189","@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?"
"Travel00190","@VirginAmerica you will match my #AmericanAirlines status? Cool!"
"Travel00191","“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉"
"Travel00192","@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business"
"Travel00193","@VirginAmerica you suck!"
"Travel00194","@VirginAmerica thanks!"
"Travel00195","@VirginAmerica Just DM'd. Same issue persisting."
"Travel00196","@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids"
"Travel00197","@VirginAmerica trying to book a flight &amp; your site is down 😁"
"Travel00198","@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything"
"Travel00199","@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better"
"Travel00200","@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue"
"Travel00201","@VirginAmerica Your website is down and I'm trying to check in!"
"Travel00202","@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
"Travel00203","@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!"
"Travel00204","@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4"
"Travel00205","@VirginAmerica Keep up the great work :)"
"Travel00206","@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY"
"Travel00207","@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously"
"Travel00208","@VirginAmerica can you please get me to the new york area before monday afternoon"
"Travel00209","@VirginAmerica Thanks so much for the awesome support, you guys rock!"
"Travel00210","@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback"
"Travel00211","@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink."
"Travel00212","@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️"
"Travel00213","@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!"
"Travel00214","@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?"
"Travel00215","@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook."
"Travel00216","@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
"Travel00217","@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
"Travel00218","@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin"
"Travel00219","@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
"Travel00220","@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks"
"Travel00221","@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh"
"Travel00222","@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ..."
"Travel00223","@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj"
"Travel00224","@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline"
"Travel00225","@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad"
"Travel00226","@VirginAmerica it’s just a bug report, guys"
"Travel00227","@VirginAmerica hold times at call center are a bit much"
"Travel00228","@VirginAmerica Like http://t.co/VPqEm31XUQ"
"Travel00229","@VirginAmerica Site down? #help"
"Travel00230","@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l"
"Travel00231","Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
"Travel00232","@VirginAmerica thanks so much!"
"Travel00233","@VirginAmerica Trying to reset my password, email never arrives. Help?"
"Travel00234","@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
"Travel00235","@VirginAmerica Very nicely done. 👏"
"Travel00236","@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)"
"Travel00237","@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?"
"Travel00238","@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
"Travel00239","@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗"
"Travel00240","@VirginAmerica sounds like fun !"
"Travel00241","@VirginAmerica any updates on flight 413 from Jfk &gt; Lax"
"Travel00242","@virginamerica spruce moose!"
"Travel00243","@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
"Travel00244","@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
"Travel00245","@VirginAmerica classiq, luv Virgin America. Greetingz"
"Travel00246","@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
"Travel00247","@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!"
"Travel00248","@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason"
"Travel00249","@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!"
"Travel00250","@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
"Travel00251","@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ"
"Travel00252","@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help."
"Travel00253","@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
"Travel00254","@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
"Travel00255","@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo"
"Travel00256","@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
"Travel00257","@VirginAmerica any plans to start flying direct from DAL to LAS?"
"Travel00258","@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn"
"Travel00259","@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
"Travel00260","@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒"
"Travel00261","@VirginAmerica Grand Budapest Hotel #OscarsCountdown"
"Travel00262","@VirginAmerica This is what you missed @NewsVP. Next trip to the 407."
"Travel00263","@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!"
"Travel00264","@VirginAmerica there is something wrong with you website in Safari iPhone"
"Travel00265","@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet"
"Travel00266","@VirginAmerica Already checked in so the page expired :X"
"Travel00267","@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!"
"Travel00268","@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y"
"Travel00269","@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4"
"Travel00270","@VirginAmerica I see what you did there ;)"
"Travel00271","@VirginAmerica way to take advantage of #MayweatherPacquiao :)"
"Travel00272","@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao"
"Travel00273","@VirginAmerica your inflight team makes the experience #amazing!"
"Travel00274","@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J"
"Travel00275","@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
"Travel00276","@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef"
"Travel00277","@VirginAmerica fav airline"
"Travel00278","@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)"
