"ID","text",,,
"Religion0016","@tobe_fr @TheofficialDund Jesus, you might have warned me.  At my age you could give me a heart attack looking like that!  Stunning",,,
"Religion0017","Atheism is very funny. https://t.co/7FQBKmLxOX",,,
"Religion0018","""I know she ain't gonna be able to be a Jesus and be perfect, but at least let her be worth it."" - @WavyBoyMell",,,
"Religion0019",".

""We can't change the past. With our faith in Jesus, we can change the future.""",,,
"Religion0020","May Allāh protect me from fighting with a man. How embarrazzing is that Acudubillahi ...",,,
"Religion0021","@DemarayCarter Jesus. Call yourself out of school tomorrow.",,,
"Religion0022","The rate at which people are kidnapped in the north now is scary..everyday is a different story... #SecureNorth this is too much..may Almighty Allah protect us all and those who have been kidnapped may Almighty Allah release them from the kidnappers and forgive the departd souls.",,,
"Religion0023","@SandrazSl0t Jesus is Lord 🙌",,,
"Religion0024","@al_ghazi1 @KarenAttiah Damn, Al-Ghazi, that's not very Allah-like of you. I don't have white guilt; I have human contempt for people who treat other people that don't look like them or think like them like shit -- like the President did with his Muslim ban",,,
"Religion0025","I just keep having to remind myself that regardless of who wins, Jesus is and will forever be the king of ALLLLLL kings",,,
"Religion0026","""And he was angry, and would not go in: therefore came his father out, and intreated him."" ~Luke 15:28 #Bible #Hope #Jesus",,,
"Religion0027","Now to him who is able to strengthen you according to my gospel and the preaching of Jesus Christ, according to the revelation of the mystery that was kept secret for long ages

Romans 16:25
English Standard Version (ESV)#PureDoctrinesOfChrist",,,
"Religion0028","@MirhaGulalai May Allah bless your mom with good health.",,,
"Religion0029","@fuseini Inshaa Allah the seat remains forever",,,
"Religion0030","Today I want to pray for anyone who is not born again where are you? Come and receive Jesus Christ as your Personal Savior.. Inbox me https://t.co/MwHxHNdTx4",,,
"Religion0031","@Avdoul__M The more you see things like this the more atheism become pleasant",,,
"Religion0032","Dear Brother's &amp; sister's greetings in Jesus name. I am very excited to welcome you to join us live tomorrow 7:00pm ISD. On Facebook &amp; YouTube. https://t.co/pAIVkK0WGc",,,
"Religion0033","@tkulatte I CANT THANK ALLAH ENOUGJ FOR YOUR EXISTENCE AND US MEETING😭😭😭💞💞",,,
"Religion0034","Jesus said those who work for love and do it together are my real people. John 17, Matthew 7",,,
"Religion0035","Oh Great Allah. May all votes be counted fairly.",,,
"Religion0036","@DavidOyedepoMin Amen in the name of Jesus",,,
"Religion0037","@arc_alkonawi @Rahma_sadau Bro I can’t say much than my own  religion to allah is peace ✌️ how u guys they try to threaten this babe is getting not to peace ✌️ to some people that want to have faith in our religion",,,
"Religion0038","“Jesus Christ the same yesterday, and to day, and for ever.”
Hebrews 13:8 KJV https://t.co/f1JB6DmzIb",,,
"Religion0039","Jesus, this is up there with one of the worst things I have seen. https://t.co/hOsXNqpGJl",,,
"Religion0040","Jesus fucking Christ, @hasanthehun was right. Didn’t even take til morning. https://t.co/51tlUl3Mgp",,,
"Religion0041","@OarabileLetsat1 Jesus Christ had disciples aswell",,,
"Religion0042","@MuslimPentagon @AkshatS40699003 @pepisaucahaya @mr_bhati0001 @FJolivet36 Lol, those who don't want allah, but are still good people are going to hell according to your skybook.",,,
"Religion0043","On the Solid Rock I stand....He never changes. Jesus Christ is the same...He is Good, He is God and Lord over all, forever. https://t.co/nJwZ0b16af",,,
"Religion0044","Oh Jesus Christ, I wake up and it isn’t over",,,
"Religion0045","Cowards like #ISIS who promotes violence will go straight to hell. You are the dirt that must be wiped out of this world. May Allah test you people more over here and hereafter. Innocent Muslims are being blamed because of your actions. Shame on you.",,,
"Religion0046","Jesus Christ the same yesterday, and to day, and for ever.
Hebrews 13:8 KJV

https://t.co/7yjO62LVQz https://t.co/nD4VHfDpYw",,,
"Religion0047","@CallMeRousy please try to understand my point as well. not all of it started w Villanueva. the catholic church is ALSO guilty of spreading homophobia. period po.",,,
"Religion0048","@heartkv_ opens bible",,,
"Religion0049","chakras originate from hinduism and are a factor of buddhism as well, make sure to do research before diving into them if you choose to do so!",,,
"Religion0050","Jesus Christ is [eternally changeless, always] the same yesterday and today and forever.
Hebrews 13:8 AMP

https://t.co/Nhry0qOHYR",,,
"Religion0051","2. 50% pastors are culpable of not teaching Biblical doctrine. 45% don't have an understanding of the Bible. See ehn, God doesn't intend for the scripture to be understood extremely or unreasonably.

Just study Ephesians 1:17

3. We've been indoctrinated by this 2nd generation",,,
"Religion0052","1. After my Bible college, I realised that we still have a long way to go as Christians here &amp; some other parts of the World where believers had been clouded by their culture &amp; church doctrines against biblical doctrine. https://t.co/Lx7JTB7Z9j",,,
"Religion0053","@jennyakhigbe1 @AishaYesufu @abdulsujee Bible was first written in Aramaic language not Hebrew",,,
"Religion0054","""What man of you, having an hundred sheep, if he lose one of them, doth not leave the ninety and nine in the wilderness, and go after that which is lost, until he find it?"" ~Luke 15:4 #Hope #Jesus #Bible",,,
"Religion0055","living buddha https://t.co/zTYOZ4UaKq",,,
"Religion0056","What we are is the result of what we have thought.
~Buddha
#quotes https://t.co/pFEa4R9mD7",,,
"Religion0057","@BamBam77927636 yep it looks like The Catholic Church is once again persecuted😵 little did they know no man can take down this Church by making #TaxTheChurch trend.",,,
"Religion0058","I just finished day 309 of the @YouVersion plan 'The Bible Project | Old Testament Covenants'. Check it out here: https://t.co/JYXVqPet0i https://t.co/jNwU7doMEy",,,
"Religion0059","An eye opener about crookedness of Buddha Gandi. https://t.co/0bvAfcO9pE",,,
"Religion0060","@NPR @chhabs I think he is holding his Bible upside down that one last time before leaving Office swearing to tell Nothing of the truth!   Good Luck to him!",,,
"Religion0061","St. Mary’s Catholic School students receive Heisman Scholarships https://t.co/c0PykL1ZnX",,,
"Religion0062","Told my mum I was feeling stressed about everything going on in the world and she started talking about god and the bible and praying. Can't say anything to this woman without her bringing it back to god",,,
"Religion0063","Zechariah 1:18
Then I looked up, and there before me were four horns. I asked the angel who was speaking to me, “What are these?” He answered me, “These are the horns that scattered Judah, Israel and Jerusalem.”
Zechariah 1:18-19 NIV
https://t.co/BxKQojRlgq",,,
"Religion0064","Even bible talk am FEAR NORTH https://t.co/kVC0dyPf5q",,,
"Religion0065","""And when he hath found [it,] he layeth [it] on his shoulders, rejoicing."" ~Luke 15:5 #Bible #Jesus #Love",,,
"Religion0066","Besides, why are the religious conservatives so against the passing of the anti-discrimination bill? Ah, because with it, their hatred and any action anchored on it will be covered and consequently, punishable by law. Meaning, there will be no excuse for them, not even the Bible.",,,
"Religion0067","Follow for daily Bible readings! 😊",,,
"Religion0068","@guavacoochi ""But those who wait on the LORD
Shall renew their strength;
They shall mount up with wings like eagles,
They shall run and not be weary,
They shall walk and not faint.""
- Isaiah 40:31 NKJV
https://t.co/5BBhAniGAk",,,
"Religion0069","Did you miss any episode of #TheRevelationofJesusChrist teaching series? Catch up at https://t.co/u5s8oGelRn.

Join us again today for Wednesday Bible Study. Streaming goes live by 6:45pm (WAT). 

#TSCWBS https://t.co/wEIR1VfL1D",,,
"Religion0070","Proverbs 4 ERV - A Father’s Advice About Wisdom - Bible Gateway https://t.co/6w48Nla7jc",,,
"Religion0071","Get the Latest Catholic News &amp; Comment Here https://t.co/Jr63sPFs2K",,,
"Religion0072","@SnapGkoolaid @edelen121 @guavacoochi ""And God will wipe away every tear from their eyes; there shall be no more death, nor sorrow, nor crying. There shall be no more pain, for the former things have passed away.”""
- Revelation 21:4 NKJV
https://t.co/CgRnx49rTQ",,,
"Religion0073","When the Bible speaks of following Jesus, it is proclaiming a discipleship which will liberate mankind from all man-made dogmas, from every burden and oppression, from every anxiety and torture which afflicts the conscience.

Dietrich Bonhoeffer",,,
"Religion0074","@CallMeRousy yes. but your previous arguments gave me the impression that u were trying to convince me that catholics do not have a fault in homophobia.

when in fact, they do.

here is a very interesting read. maybe you should look into it.

https://t.co/8R3NeFiku0",,,
"Religion0075","@EmilyRNunn It’s not about the Bible it’s about the babies.",,,
"Religion0076","@KyleJamesHoward Brother, remember to follow the Bible's clear guidance in matters like these: name your kid after some kind of future judgment coming soon. #icabod

😂😂

Seriously though, I will be praying. For both things. 💯",,,
"Religion0077","This one always comes to court carrying a bible hoping it will sway the judge, mess💔😂😂😂 https://t.co/4mDNYSTgXq",,,
"Religion0078","In years to come, parenting will become a subject in schools, through to tertiary. In the place of Bible study.",,,
"Religion0079","Your President did not say ALL Christians and neither was he obligated to SPECIFIC which ones and for what reason! Catholic Christians not only exist ACROSS USA but the World! https://t.co/ti787O7oVp",,,
"Religion0080","I love Bible In Your Ear Daily Podcast with Kirk Whalum - Hosted by Olive Tree Bible Software | DAY 308, let's play it!
https://t.co/zdsmpknMET",,,
"Religion0081","""And when he cometh home, he calleth together [his] friends and neighbours, saying unto them, Rejoice with me; for I have found my sheep which was lost."" ~Luke 15:6 #Jesus #Love #Bible",,,
"Religion0082","""Faith is not the belief that God will do what you want. It is the belief that God will do what is right."" 💕",,,
"Religion0083","@Supernintendo Uhhhhh. You're not going to like the answer but the sacred oath when they out their hand on the bible to be sworn in is the check and balance.",,,
"Religion0084","Opened my Bible this morning to do my F260 Scripture reading. This is passage for Nov 04, 2020. God is sovereign. No matter what happens in this crazy world, because He lives- I can face tomorrow. https://t.co/HoUawTy9Cc",,,
"Religion0085","“and be ye kind one to another, tenderhearted, forgiving each other, even as God also in Christ forgave you.”
Ephesians 4:32 ASV https://t.co/lIPoM5PaoO",,,
"Religion0086","We need peace and equality. For once in this religious, divided ass country. Like you all realize god said he loves ALL HIS CHILDREN. That means POC. LGBTQ+. HISPANICS. If you r gonna be racist on religion at least read the Bible front to back first. THE UN UPDATED BIBLE!",,,
"Religion0087","""More than anybody and anything else, it is the Bible that tells us the true teachings of the gospel."" — Bro. Eli Soriano

#PureDoctrinesOfChrist",,,
"Religion0088","@aproko_doctor In all this we failed to understand that part of the Bible is the Jewish culture and not necessarily a determinant of sin and righteousness. The Bible is clear enough for the blind to see. The only thing you need to be righteous is accepting the finished work of Christ.",,,
"Religion0089","@Catholic_Priest @Kristinscrosses Amen🙏🙏🙏",,,
"Religion0090","it's so nice to see believers take a stand against our fellow believers who use and twist the words of the Bible to propagate ignorance, oppression, and abuse of power.",,,
"Religion0091","@Harri_Obi How did you arrive at Bible Belt? 🤔🤔",,,
"Religion0092","@dmuthuk My interpretation of Buddha has always been different.He said desire is the root cause of sorrow ,I feel his ideology is limiting as ambition comes with a cost of setback and everyone cannot handle setbacks,so he says desire less .",,,
"Religion0093","@TheSeekerG11 @MadetojaStig Roman Catholic Church",,,
"Religion0094","Be kind and compassionate to one another, forgiving each other, just as in Christ God forgave you.
Ephesians 4:32 NIV
https://t.co/m8eojSYhHP",,,
"Religion0095","Unbelievers don't read the Bible, they read us.",,,
"Religion0096","""I say unto you, that likewise joy shall be in heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance."" ~Luke 15:7 #Jesus #Hope #Bible",,,
"Religion0097","@kgotsohopelekau Rooted in Christ and how he teaches the bible 😍",,,
"Religion0098","@ofunne_okocha Hehe personally i don't know if he is a good christian, he wasn't practicing for a long time what i do know is he has supported and backed publicly many christian ideals especially at the supreme court level even many catholic priests openly support him. I understand this well.",,,
"Religion0099","Read the complete prayer... https://t.co/6Fq8DwvwLe
#Christianity #Catholic #prayer #brokenheart https://t.co/KamAUiBURd",,,
"Religion0100","(605) :In Chinese astronomy, stars of Cancer lie within the Vermilion Bird of the South. Vermillion refers to Mt Parada of ancient history, &amp; it identifies seat of Goddess Hingula(Hing of the Bible), who is linked with the tradition of Sri Jagannath Temple. It adores Women's head",,,
"Religion0101","Great news,
although there wont be any Mass for the next 4 weeks, my Church is still open every day during the lockdown for private prayer &amp; confession
God is good",,,
"Religion0102","What is the true Church in the Bible?
Find out in this video: https://t.co/fHTVwuynUs #PureDoctrinesOfChrist",,,
"Religion0103","@seeyaaahev @vermillion901 @SunYing_ Another proof that Buddhism originated in Korea?Buddhists in ancient Korea must know well about Sanskrit",,,
"Religion0104","Why did God create man? Watch the Bible's answer here: https://t.co/4z1hctT4k7 
#PureDoctrinesOfChrist",,,
"Religion0105","yall catholic im alcoholic we are not the same",,,
"Religion0106","Amen! https://t.co/3ejiT9aZUl https://t.co/Hf8b7WoLmn",,,
"Religion0107","@EscapingAtheism erm... Hitler was raised Catholic, Mengele was a Catholic till he died, Germany was a mainly christian country, Stalin was raised Catholic, Great Britain killed over a million people in India during WW2 by taking their food and feeding their own, Pol Pot was raised Catholic...",,,
"Religion0108","""Either what woman having ten pieces of silver, if she lose one piece, doth not light a candle, and sweep the house, and seek diligently till she find [it? ]"" ~Luke 15:8 #Jesus #Faith #Bible",,,
"Religion0109","Oh please. This is a very disingenuous take. 
Religion - system of belief and/or worship.
People are the adherents of these belief systems. And there are always going to be extremists and persons who have simply misunderstood the basic tenets of these belief systems. https://t.co/pPajhURxiJ",,,
"Religion0110","“In peace I will both lie down and sleep; for you alone, O Lord, make me dwell in safety.”
Psalm 4:8 ESV
https://t.co/FGZ9M6sJ7d",,,
"Religion0111","Jesus will come at second coming, he will have a new name according to the scriptures. 
Join me and study the Bible online, 
#bibleknowledge",,,
"Religion0112","@DrAmbardar @TVMohandasPai We are against religion which force feeds you to believe in only one or the other book.
There is no concept of what ultimate freedom should be like.
It is only in Hinduism, jainism and Buddhism having Idea of ultimate freedom of Mukti.
But all other bind you to judgment day.",,,
"Religion0113","@ShowMeGoodNews @BNONews @BNODesk Lol you’re a self-proclaimed Lutheran who hates Trump? What about the whole “love your enemies” part of the Bible? And writing off an entire voting block as stupid? Might want to examine your belief system, Karen.",,,
"Religion0114","I was just watching a show and a lady was unbuttoning some dudes pants and said ""I went to Catholic school"" First of all, wtf does that even have to do with anything?",,,
"Religion0115","Made with ❤ at https://t.co/WT02dYuyOF All 31,102 verses in the Bible ready &amp; personalized with your name at the bottom. Come! Let's preach The Word together. #biblefarm #sharetheword #preachtheword #doersoftheword #bibledoers #kingjamesbible #kjb #kingjamesversion #kjv",,,
"Religion0116","@pimpxix The Bible 💗",,,
"Religion0117","Quoting bible verses to justify their homophobic asses. I kennat 🤮",,,
"Religion0118","“Taste and see that the Lord is good. Oh, the joys of those who take refuge in him!”
Psalms 34:8 NLT https://t.co/CGi9vSJyuf",,,
"Religion0119","@elizariz1 Salam, the unroll you asked for: @elizariz1: So I love dragons and Thoth individually. I found links between dragons and the Bible to connect to Asian… https://t.co/VhLK5By4S5 See you soon. 🤖",,,
"Religion0120","""To serve God means to serve the people"" It was repeatedly said in the bible that the Lord values justice. He is not a God who turns a blind eye to the suffering and injustices of His children. So I definitely agree that to serve the Lord is to serve the mass. https://t.co/CC2SnKIA0j",,,
"Religion0121","@CallMeRousy thank you. i’ll look into it. nonetheless, my point still stands. the catholic church is ALSO guilty :)",,,
"Religion0122","@thedelitesite So sad! That people still selling their integrity for money! Like Judas did to Jesus! The good think is like Judas it’s part of the Bible. All this crazy people that choose to spread racism and inequality will be part of the memes and business books as case study! Respectfully.",,,
"Religion0123","...No one saves us but ourselves. No one can and no one may. We ourselves must walk the path... By Buddha #MyPhotos #BeautifulPlaces #NatureLovers #AutumnVibes https://t.co/nVlW5dgDJS",,,
"Religion0124","Join us online at 7 pm for Thursday Night Bible Study - The Parables of Jesus. https://t.co/i7OiQDTrcK",,,
"Religion0125","This is a very special episode of The Cantankerous Catholic. We not only have a tremendous interview with Fr. Robert Altier, but there’s also a very special Catholic Bootcamp segment that I strongly urge you to listen to. 
https://t.co/7CztgIbDiB",,,
"Religion0126","""And when she hath found [it,] she calleth [her] friends and [her] neighbours together, saying, Rejoice with me; for I have found the piece which I had lost."" ~Luke 15:9 #Jesus #Bible #Hope",,,
"Religion0127","@Albion43S @HamzaIbnBased @HalalGorah Was Jesus meant to die wouldn’t you be saved if he died either way it doesn’t make sense your entire belief system is just one giant mess to me im sorry but if your can’t  let the truth in then pray to Allah to guide you",,,
"Religion0128","@BilliFitzSimons @Peter_Fitz Please pray as well as bet ... atheists’ included.",,,
"Religion0129","Please y'all help me find Ghana Jesus
I'm John the Baptist I have a prophecy about him",,,
"Religion0130","reading the fraud bible listening to @MoneyMan",,,
"Religion0131","Konje what does the bible say about false prophets in Matthew 7:15 https://t.co/p1QCnbyfUk",,,
"Religion0132","@Dreamyiscool As it was written in the bible",,,
"Religion0133","Sultan wants Catholic bishop interrogated over attacks on Muslims in South-South, South-East https://t.co/c7p3ng7PHr",,,
"Religion0134","@davidchapman141 God darn Catholics (i'm Catholic btw)",,,
"Religion0135","Bible Radio Public Service Advisory - How to Hand Rub",,,
"Religion0136","@BRijswijk @Samone59960567 @Antipervcult This is literally just a big waste of time, this gentleman wants us to not use the word ""athiest"" for the fucks that shout it in our ears whole day long. 
Simple enough.
Now stop arguing",,,
"Religion0137","@Musafuad1 @AishaYesufu @abdulsujee You keep repeating the word God...God is God I continue to say..the Bible was  first written in Hebrew not that one you’re saying..it was their language and as you know not everyone is Hebrew...It was translated in English so as for one to get a personal relationship with God",,,
"Religion0138","@Zakiyyah6 In the Bible, Jesus is pretty much asked the same question, and he says that there's no marriage and we'll be like the ""angels in heaven."" So in Christianity, either heaven is sexless, or a free-love zone.",,,
"Religion0139","""Likewise, I say unto you, there is joy in the presence of the angels of God over one sinner that repenteth."" ~Luke 15:10 #Jesus #Bible #Faith",,,
"Religion0140","Thus was old testament cde, before Christ came to give life in abundance. The bible clarifies that whoever believed in Him had overcomed death. Its no longer US who lived but Christ in US so we cant make such choices. https://t.co/TbQDPzTNRZ",,,
"Religion0141","@drjefffugate @realDonaldTrump What’s does the bible saying about raping children? @drjefffugate",,,
"Religion0142","@lasun90 We have them both ways. Just be careful and read the Bible religiously. The truth you will not find from a Pastor is right inside that book if you read to understand.",,,
"Religion0143","I AM A CATHOLIC BUT I TRULY SUPPORT #SOGIEEqualityNow NOT JUST BECAUSE OF BL AND IT MAKES ME HAPPY BUT BECAUSE EVERYONE DESERVES EQUALITY, ACCEPTANCE AND RESPECT! ❣️❣️🙏 https://t.co/poQq70rla4",,,
"Religion0144","Listen and witness of the extraordinary wisdom and knowledge in the bible that you can only hear on the continuation of the Live Mass Indoctrination, be amazed because ""You Deserve The Truth!""

😍😍😍

#PureDoctrinesOfChrist https://t.co/XFaNCN63hE",,,
"Religion0145","(cont.) (2) being opressive of their rights does not guarantee you a spot in eternal life, and (3) if being an ally and/or part of the community means going against the teachings of the Bible, see you in the bad place then. 🤓 #SOGIEEqualityNow #PassADBNow",,,
"Religion0146","@_iTweetAlways @Moefire_ “Remove the stick on your eyes before you remove the one on your neighbor’s” meanwhile all these idiots swore they’re educated and have bible knowledge but........",,,
"Religion0147","@PMGTS1 @SteveGuest @realDonaldTrump you talking about the New World Order...I have read about that in the bible.",,,
"Religion0148","@EvangAdedayo @alafa_jr1 @aproko_doctor Masturbating is under the list of the flesh, Go and study your Bible well.",,,
"Religion0149","It does matter. I am a Gentile, aware of the jews manipulation behind the scenes through the Bible and Qu'ran, being copied off the jews scriptures, are not seperate issues,  they are of the scriptures and be aware of the closeness of the jews, psychological contact, be aware. https://t.co/DZSwXXd89V",,,
"Religion0150","A capitalist Nations drug cost on one of its most vulnerable, that's a Ronnie Coleman, you're not choosing him based on the fact that he won all those olympias right just on the fact that his name's Coleman what Olympians have you won, factually speaking from the Bible",,,
"Religion0151","@Flipipinoh @jeffgaisano @rapplerdotcom Being pro-choice doesn’t automatically mean pro abortion. I’m catholic myself and I have my own views on abortion but i believe women should have the choice to do what they want with their bodies because they’re the ones who will carry and suffer for 9 months.",,,
"Religion0152","“Possibilities and Impossibilities: God is in Control – not Atheists” Read More: https://t.co/PcFRTpTISZ #PureDoctrinesOfChrist",,,
"Religion0153","@nakwaati Do you believe in the bible as a Muslim?",,,
"Religion0154","I'll never speak bad about a Catholic ever again",,,
"Religion0155","@SibusisoThabede In her own admission, she choose to be brainwashed. The last time i checked the Bible, God hates stupidity, laziness and cowardice hence he endowed man with both intellectual and physical capabilities to fight all of these calamities.",,,
"Religion0156","how many times do we have to reiterate that not everyone in the fucking state is catholic/christian STFU https://t.co/Qm6WlH6Bxq",,,
"Religion0157","@Kerr_Kurr especially Bible quoters who, like @marcorubio , are supporters of a despicable regimte.",,,
"Religion0158","@easuguitan No lol
Philippines is a Catholic Nation",,,
"Religion0159","A Simple Step-by-step Mindfulness Meditation Guide - Buddha Weekly: Buddhist Practices, ... https://t.co/iE98C1gMDZ https://t.co/zsZgYqbjCg",,,
"Religion0160","@BRijswijk @Samone59960567 @Antipervcult Here it was ""atheists""",,,
"Religion0161","@jericha_throne @realDonaldTrump This is what the Bible has to say about Trumpicifer.  Rev. 13:5.    New International Version
The beast was given a mouth to utter proud words and blasphemies and to exercise its authority for forty-two months.",,,
"Religion0162","@shomaristone @realDonaldTrump The Bible says, Pride comes before the fall.",,,
"Religion0163","@johndavids_635 @SandisiweM_ Yeah, bible study 🙏🏾",,,
"Religion0164","I know the Bible for myself.. when a spiritual leader starts saying something outside the word of God I move... it’s just like what Pope said about Homosexuals",,,
"Religion0165","@WTHKOOS so fucking true 😭😭 im catholic and it’s definitely not an excuse to be homophobic 😕",,,
"Religion0166","Separation of church and state but so badly want to impose its belief and power on the govt. Hypocrites.

I can stan Jesus without stanning religion. Sit down, clowns. #TaxTheChurch",,,
"Religion0167","I believe in G-d he is the Creator if you like to call him that but there is a deeper way to understand him, the Jews already have it worked out because I read a book of Jewish theology and it made sense, it was similar to Buddhism actually, I want to be a peaceful man",,,
"Religion0168","i guess im lucky that while i have met plenty of religious people (bruh i stay in a catholic dorm s i g h) ive never met someone who was so obnoxious with it hahaha",,,
"Religion0169","Today's Bible verse: KJV MATTHEW 5:7 ""Blessed are the merciful: for they shall obtain mercy."" Are you being kind and merciful to others? Jesus knows your heart. https://t.co/m1NueXjrBJ",,,
"Religion0170","@ThuliMadonsela3 That is a helluva broad brush to paint religion with. What about the fascist evangelicals, the raping priests from Catholicism, the doom pastor, mr bushiri, etc not to mention the historical context.

I am afraid your tweet is wishful thinking and religion has no place in govt",,,
"Religion0171","@ace_anele Easy the real ones u will see them with their works and everything they do victory is guaranteed its in the bible their works will speak for them .",,,
"Religion0172","https://t.co/HlZIM1La1N.                                        The tongue is a very powerful instrument. Probably the strongest part of our body! If you don’t believe that statement read the book of James in the Bible. The only way to have control of your tongue is Jesus!",,,
"Religion0173","Good Morning My Friends,
I’m thankful that Jesus never changes. He is my rock!!! Be blessed 😊 https://t.co/MQ9k6KEGLk https://t.co/ScnQmHLO5S",,,
"Religion0174","selfish pricks who doesn't care about anyone else... ANYWAYS DONT EVEN BRING THE BIBLE INTO THIS CAUSE AS FAR AS I KNOW ITS NOT IN THE 10 COMMANDMENTS",,,
"Religion0175","@AndreaRussett It’s gonna happen it is a glimpse to the future in the Bible Andrea the Bible is real and it ain’t no joke the Antichrist is coming and Jesus Christ is coming",,,
"Religion0176","Hypocritical #Muslims hide their true face and purpose with the concept of Islamophobia in #Europe. Muslims in Europe, who want eternal freedom for themselves, react very harshly to non-Muslims in Muslim countries when they declare that they are #non-Muslims or #atheists.",,,
"Religion0177","I take this opportunity to thank my friend
 for donating with me the Bible and am glad for the word of God...now am looking for someone who can help me to go for Bible study in December..to the Bible college
Thanks for the response https://t.co/R2CkqFnJit",,,
"Religion0178","The Bible makes a strong note that being lukewarm is worse than being hot or cold.

As Christians, we have to stand with God at all times. There's no true room for being halfway with God and being halfway with the world.

#okechisfi #Todaysword #christianliving #nchesiredu https://t.co/DNnmT4YO5J",,,
"Religion0179","A Simple Step-by-step Mindfulness Meditation Guide - Buddha Weekly: Buddhist Practices, ... https://t.co/KAEQORzJnV https://t.co/fY9f41XAUZ",,,
"Religion0180","Hijab suggests modest dressing, just as it was worn by traditional catholic nun, mother Teresa, Virgin Mary etc.",,,
"Religion0181","@segunariyo4 Hmmmm, this call for a deep reflection sir. Is that what we are getting during Bible study today sir?",,,
"Religion0182","@realDonaldTrump Congratulations from Germany Mr. President. God bless you and your family.
Msgr. Oliver Wille from the Roman catholic church in Germany 🙏",,,
"Religion0183","@donaldo92803134 @soulfinecyn @PrunedaClarissa ""My flesh and my heart fail;
But God is the strength of my heart and my portion forever.""
- Psalms 73:26 NKJV
https://t.co/UMYs9FzMza",,,
"Religion0184","@jennyakhigbe1 @AishaYesufu @abdulsujee Yeah, it was from the Arabs just as the bible was from the Jews",,,
"Religion0185","@Bonquequetavod @soulfinecyn @khuntanokinte ""My flesh and my heart fail;
But God is the strength of my heart and my portion forever.""
- Psalms 73:26 NKJV
https://t.co/UMYs9FzMza",,,
"Religion0186","@Watchho80149925 @amocoboy @funshographix It's easy for u being a Christian to judge or didt ur bible say judge not? y should u come to d conclusion dat cos I dnt share ur view on ur religion den dat makes me a illiterate?",,,
"Religion0187","You’re a homophobic catholic? Gtfo my tl",,,
"Religion0188","@realifechoice Jesus is not the son of God nor he is God. Since you believe jesus is God, give me one sentence, or two. From the bible, when jesus, daid, that he's my God and yours, and we should worship him only.",,,
"Religion0189","@SindelThicc Is that the bible",,,
"Religion0190","implying the inevitable will of God to accept the Gentiles as Christians, baptize, and admit that they are one brother as a member of the community. And it also implies that Peter himself is thoroughly following God's will.",,,
"Religion0191","@aproko_doctor Is trouser written in the Bible?",,,
"Religion0192","The concept of Judgement Day existed long before the Bible.

 The ancient Egyptians had a concept similar to what is known as Judgement Day &amp; Hell; according to the Bible Hell is a place where the evil doers &amp; nonbelievers would go &amp; burn in horror fire for eternity. https://t.co/Z5uCbCsrH5",,,
"Religion0193","@jl_therapy @TheTweetOfGod Right! So only atheists get cancer?!?!  😖",,,
"Religion0194","Only the true teachings from the bible #PureDoctrinesOfChrist",,,
"Religion0195","@jjon1982 Says you? Who condemn him before knowing him. And you are right about Jesus expecting the prophet, he is the comforter you guys seek in shouting. I recommend you read the Bible in Hebrew and see how Ahmad was translated into English(comforter). Like who translates a name.",,,
"Religion0196","@latinagfss 🙄🙄ik thats some shit my family members would say like the Bible ain’t got nothing to do with this",,,
