"ID","text","sensibile"
"Travel076","VirginAmerica awesome I flew yall Sat morning Any way we can correct my bill",1
"Travel077","VirginAmerica Or watch some of the best student films in the country at 35000 feet CMFat35000feet httptcoKEK5pDMGiF",0
"Travel078","VirginAmerica first time flying you all do you have a different ratepolicy for media Bags Thanks",0
"Travel079","VirginAmerica what is going on with customer service Is there anyway to speak to a human asap Thank you",0
"Travel080","VirginAmerica what happened to Doom",0
"Travel081","VirginAmerica why cant you supp the biz traveler like SouthwestAir  and have customer service like JetBlue neverflyvirginforbusiness",0
"Travel082","VirginAmerica Ive applied more then once to be a member of the inflight crew teamIm 100 interested flightattendant dreampath G",0
"Travel083","VirginAmerica youre the best Whenever I begrudgingly use any other airline Im delayed and Late Flight",0
"Travel084","VirginAmerica I have no interesting flying with you after this I will Cancelled Flight my next four flights I plannedneverflyvirginforbusiness",0
"Travel085","VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet neverflyvirgin",0
"Travel086","VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account Help httptcopX8hQOKS3R",1
"Travel087","VirginAmerica Cant bring up my reservation online using Flight Booking Problems code",0
"Travel088","VirginAmerica Random Q whats the distribution of elevate avatars I bet that kitty has a disproportionate share httptcoAPtZpuROp4",0
"Travel089","VirginAmerica I lt3 Flying VA But Life happens and I am trying to change my trip JPERHI  Can you helpVA home page will not let me",1
"Travel090","VirginAmerica Why is the site down  When will it be back up",0
"Travel091","VirginAmerica You down with RNP Yeah you know me",0
"Travel092","VirginAmerica hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account",0
"Travel093","VirginAmerica I like the TV and interesting video  Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday",0
"Travel094","VirginAmerica just landed in LAX an hour after I should of been here Your no Late Flight bag check is not business travel friendly nomorevirgin",1
"Travel095","VirginAmerica why is flight 345 redirected",0
"Travel096","VirginAmerica Is it me or is your website down  BTW your new website isnt a great user experience  Time for another redesign",0
"Travel097","VirginAmerica I cant check in or add a bag Your website isnt working Ive tried both desktop and mobile httptcoAvyqdMpi1Y",0
"Travel098","VirginAmerica  Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable",0
"Travel099","virginamerica What is your phone number I cant find who to call about a flight reservation",0
"Travel100","VirginAmerica is anyone doing anything there today  Website is useless and no one is answering the phone",0
"Travel101","VirginAmerica trying to add my boy Prince to my ressie SF this Thursday VirginAmerica from LAX httptcoGsB2J3c4gM",1
"Travel102","VirginAmerica why must a traveler miss a flight to Late Flight check a bag  I missed my morning appointments and you lost my business sfo2lax",0
"Travel103","VirginAmerica check out new music httptcomaRcnOCWzn",0
"Travel104","virginamerica hows a direct flight FLLgtSFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight sneaky",0
"Travel105","VirginAmerica your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp",0
"Travel106","VirginAmerica  amazing customer  service again 💕💕 RaeAnn in SF  shes the best customerservice virginamerica flying",0
"Travel107","VirginAmerica called your service line and was hung up on This is awesome sarcasm",0
"Travel108","VirginAmerica your site is tripping Im trying to check in and Im getting the plain text version I am reluctant to enter any card info",0
"Travel109","VirginAmerica I was scheduled for SFO 2 DAL flight 714 today Changed to 24th due weather Looks like flight still on",0
"Travel110","VirginAmerica has getaway deals through May from 59 oneway Lots of cool cities httptcotZZJhuIbCH CheapFlights FareCompare",0
"Travel111","VirginAmerica has getaway deals through May from 59 oneway Lots of cool cities httptcoRPdBpX3wNd CheapFlights FareCompare",0
"Travel112","VirginAmerica has getaway deals through May from 59 oneway Lots of cool cities httptcoB2Xi4YG5T8 CheapFlights FareCompare",0
"Travel113","VirginAmerica has getaway deals through May from 59 oneway Lots of cool cities httptcoQDlJHslOI5 CheapFlights FareCompare",0
"Travel114","VirginAmerica Have a great week 🌞✈",0
"Travel115","VirginAmerica come back to PHL already We need you to take us out of this horrible cold pleasecomeback httptcogLXFwP6nQH",1
"Travel116","VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop",0
"Travel117","VirginAmerica is the best airline I have flown onEasy to change your reservationhelpful representatives amp a comfortable flying experience",0
"Travel118","VirginAmerica and again Another rep kicked butt Naelah represents your team so beautifully Thank you",0
"Travel119","VirginAmerica your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure",0
"Travel120","VirginAmerica Love the team running Gate E9 at LAS tonight Waited for a delayed flight and they kept things entertaining",0
"Travel121","VirginAmerica Use another browser 2015 amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website",0
"Travel122","VirginAmerica And now the flight Flight Booking Problems site is totally down Folks what is the problem",0
"Travel123","VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long VA370",0
"Travel124","VirginAmerica thanks to your outstanding NYCJFK crew who moved mountains to get me home to San Francisco tonight",1
"Travel125","VirginAmerica you have the absolute best team and customer service ever  Every time I fly with you Im delighted  Thank you",0
"Travel126","VirginAmerica Do you provide complimentary upgrades to first class if there are available seats",0
"Travel127","VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone Im calling intern Help",0
"Travel128","VirginAmerica completely awesome experience last month BOSLAS nonstop Thanks for such an awesome flight and depart time VAbeatsJblue",0
"Travel129","VirginAmerica How can I watch the Oscars2015 on my JFKgtSFO flight",1
"Travel130","VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is",0
"Travel131","VirginAmerica you are failing your customers because your check in process does not link to TSA precheck",0
"Travel132","VirginAmerica FiDiFamilies us too Terrible airline Just gave us a hotel hotline number and said sorry",0
"Travel133","VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet",0
"Travel134","VirginAmerica ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you",0
"Travel135","VirginAmerica Another delayed flight likingyoulessandless",0
"Travel136","VirginAmerica I need to register a service dog for a first class ticket from SFO gt Dulles The phone queue is an hour or longer Pls advise",1
"Travel137","virginamerica you ROCK for making it so I can watch Oscars on my flight redcarpet oscars oscars2015",1
"Travel138","VirginAmerica reallytallchris dropped a track on you httpstcozv2pt6TRK9",0
"Travel139","VirginAmerica always Xoxo",0
"Travel140","VirginAmerica why cant we book seats on your flights when we buy them or even during check in Creates so much anxiety frustrated",0
"Travel141","VirginAmerica Youd think paying an extra 100 bucks RT for luggage might afford you hiring an extra hand at sfo lame",0
"Travel142","VirginAmerica best customer service rep in the world irmafromDallas takes the cake",0
"Travel143","VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday That would be great customer service 😃",0
"Travel144","VirginAmerica please provide status for flight 769  I cant imagine its on time as the Web indicates  dude to weather here andor Dallas",0
"Travel145","VirginAmerica you have amazing staff amp super helpful as I just ran the WaltDisneyWorld PrincessHalf they have spoiled me with comfort",0
"Travel146","VirginAmerica I paid the premium to fly you across the country you Cancelled Flight my flight and offer no check fee or upgrade love Sad face",0
"Travel147","VirginAmerica question is it not possible to book a seat for an infant under 2 Its not giving me the option but we want a seat for him",0
"Travel148","Always have it together Youre welcome RT VirginAmerica jessicajaymes Youre so welcome",0
"Travel149","virginamerica flight home to dc sunset globe in backtowinter back to work refreshed httptcoVX9vBCTdLf",0
"Travel150","VirginAmerica I dont understand why you need a DM to give me an answer on if you have a damaged luggage policy",0
"Travel151","VirginAmerica does that mean you dont have a policy for destroyed luggage",0
"Travel152","VirginAmerica is there special assistance if I travel alone w2 kids and 1 infant Priority boarding",0
"Travel153","VirginAmerica thank you for checking in tickets are purchased and customer is happy",0
"Travel154","VirginAmerica is your website ever coming back online",0
"Travel155","VirginAmerica   Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday February 23",0
"Travel156","VirginAmerica Is flight 0769 out of LGA to DFW on time",0
"Travel157","VirginAmerica my drivers license is expired by a little over a month Can I fly Friday morning using my expired license",1
"Travel158","VirginAmerica having problems Flight Booking Problems on the web site keeps giving me an error and to contact by phone  phone is 30 minute wait",0
"Travel159","VirginAmerica How do I reschedule my Cancelled Flightled flights online The change button is greyed out",0
"Travel160","VirginAmerica I rang but there is a wait for 35 minutes I can book the same ticket through a vendor fix your site",0
"Travel161","VirginAmerica got a flight we were told for 450 todaychecked my email and its for 450 TOMORROW This is unacceptable",0
"Travel162","VirginAmerica our flight into lga was Cancelled Flighted Were stuck in Dallas I called to reschedule told I could get a flight for today12",1
"Travel163","VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love httptcoenIQg0buzj",1
"Travel164","VirginAmerica any plans to start flying direct from DAL to LAS",1
"Travel165","VirginAmerica love the 90s music blasting at gate in Boston while waiting for flight to SanFrancisco Only if I could get an iced coffee
",1
"Travel166","VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM Need it returned Call 9143290185",1
"Travel167","VirginAmerica we have a hot female pilot Sweet DCA to SFO ",1
"Travel168","VirginAmerica  Flight Booking Problems last second flight for next week from SFO to SAN any chance you want to gift me a promo code since I love you guys",1
"Travel169","VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is 550
",1
"Travel170","VirginAmerica I applied for a position in flyLAXairport and I was wondering if you guys received my application",1
"Travel171","VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️",1
"Travel172","VirginAmerica thanks for that Been needing a way to make those Austin trips from DCA and now youve come through",1
"Travel173","VirginAmerica first time flying Virgin went to SanFrancisco Thanks for the smooth ride Easily my new fav airline",1
"Travel174","VirginAmerica on VX399 from JFK to LA  dirty plane  not up to your standards",1
"Travel175","VirginAmerica help I was On Flight 27 from JKF tonight seat 7C left portfolio Need it back",1
"Travel176","VirginAmerica Thanks for the lovely soft views travel SAN to SFO httptcoCnctL7G1ef",1
"Travel177","virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO  Just needs a cabaret singer  Think about it",1
"Travel178","VirginAmerica what is your policy on flying after surgery",1
"Travel179","VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling Dont worry Ill keep trying",1
"Travel180","VirginAmerica on flight VX399 headed to LA from JFK  dirtiest VA plane I have ever been on Sad for a great airline",1
"Travel181","VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD amp Im calling every day no responsePlease give me back my stuff",1
"Travel182","VirginAmerica VirginAtlantic I have just checked in flight to SFO from LAX amp been told as Atlantic Flying Club Gold I get no benefits",1
"Travel183","VirginAmerica is todays flight from Palm Springs Ca to JFK in NY Cancelled Flightled
",1
"Travel184","VirginAmerica Thanks for a great flight from LA to Boston Pilots did a great job landing in the snow Can we go back to LA now seriously",1
"Travel185","VirginAmerica Only way to fly Elevate Gold",0
"Travel186","VirginAmerica If only you guys had flights from CMH",0
"Travel187","VirginAmerica a lot of apologies being thrown out to customers from what I can seeVery sad Thanks for nothing Worst airline ever",0
"Travel188","VirginAmerica  for all my flight stuff wrong and did nothing about it Had worst flight ever",0
"Travel189","VirginAmerica Having an issue finding a missing item on a plane Can you help me find which airport my plane headed to next",0
"Travel190","VirginAmerica you will match my AmericanAirlines status Cool",0
"Travel191","“VirginAmericaYouve met your matchGot status on another airline Upgrade  httptcoH952rDKTqy” asarcoESar  🙉",0
"Travel192","VirginAmerica trying to book a flight with you guys and your website wont let me about to lose my business",0
"Travel193","VirginAmerica you suck",0
"Travel194","VirginAmerica thanks",0
"Travel195","VirginAmerica Just DMd Same issue persisting",0
"Travel196","VirginAmerica Because we never recd Cancelled Flightlation notice we were left w no options to fly out of PS Driving to LA for a red eye Mon w kids",1
"Travel197","VirginAmerica trying to book a flight amp your site is down 😁",0
"Travel198","VirginAmerica You have any flights flying into Boston tomorrow I need to be home and you Cancelled Flightled my flight and didnt do anything",1
"Travel199","VirginAmerica you stink Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook disappointed  expected better",0
"Travel200","VirginAmerica I love your guys song Were dancing to it for our high school dance revue",0
