"ID","text","sensibile"
"Politics111","Discussing PanamaPapersInquiriesBill2016nStandingCommitteeOnLawAndJusticenSenate Islamabad n BBhuttoZardari  httpstcoYh4CPfsoLY”",0
"Politics112","Senate senatorbobday senbrandis by broelman httpstcoZ25TmDhZ9R httpstco1d0spIbQsQ auspol TheDrum",0
"Politics113","Our vote is our power 2 send a message that we r UnitedAgainstHate the senate is CRUCIAL use ur power make a plan httpstcomK6H40MCTw",0
"Politics114","Discussing PanamaPapersInquiriesBill2016nStandingCommitteeOnLawAndJusticenSenate Islamabad n08112016… httpstcolcdWZZF8EN",0
"Politics115","Soo Good Working Madam SassuiPalijo Sahaiba Plz Follow Me httpstcojqRWmJQgdm",0
"Politics116","Senate to Dems Congress will do some work againnnBBCnews msnbc npr wsj cnn HuffPostPol nyt… httpstcoAEh7QPFAJB",0
"Politics117","Greater than FiveThirtyEight wTHIS at 538 on ElectionDaynHillaryClinton 716nTHIS 507nMadamPresident… httpstcoHyl4I54wQ7",0
"Politics118","JUST IN As Saraki’s trial resumes Senate begins probe of CCB httpstco9Unh9qyCGq latest localnews",0
"Politics119","In Australia a proposal to have a national vote on legalising samesex marriage has been defeated by the Senate httpstcoqLYFFvz8sQ",0
"Politics120","Control of Congress up for grabs Tuesday The Senate is up for grabs Tuesday… httpstcoTbjw8nWHvG via WTKR3",0
"Politics121","Allison59798116 In Closing The Comey Sabatoge has or May cause  house and POSSIBLYSENATEIts About PowerLETS TAKEOURCOUNTRYBK😠",0
"Politics122","Polls are OPEN in Maryland amp DCn7am8pmnPOTUS Senate Congress school boards statehood amp more httpstcoEhKaBGFSjx",0
"Politics123","Usually ElectionDay feels like Game7 palms r sweaty thirsty etc I want Senate Red but I have zero emotions re todaynjaynordlinger",1
"Politics124","California State Senate Candidates Nancy Skinner amp Sandré Swanson on Po httpstcotmUVKTiaEn via YouTube nancyskinner14 senate ca",0
"Politics125","Sen Baker Others Join Wayne Drilling Suit Against DRBCnSenate WayneCounty DRBC NEPA WPNews nhttpstcoL6B96EuYyE",0
"Politics126","Social Senate SocialNewsCorp httpstco7O5KjaFJAn Via Twitter RealityCrowdTV wikileaks socialmedia",0
"Politics127","ElectionDay Ohio vote RupertforOhio for SenateNoMoreNeoCons",1
"Politics128","laloalcaraz says VOTE election 2016 POTUS senate house local httpstcoxgw75udBs4",1
"Politics129","The latest The ARB Daily httpstco3RXOLWJ95P Thanks to DaleTedder1 basedazn senate icymi",0
"Politics130","Yes TheDemocrats is a deeply flawed Party but it has given us an AfricanAmericanPOTUS and will follow with a FemalePOTUS Vote Senate",1
"Politics131","SpeakerRyan SenateMajLdr reince GOP RNC   DoYourJob Congress SenateGop Senate httpstcodOeVodah9y",0
"Politics132","DEMOCRATSDont forget to vote the same for the Senate amp House Vote2016 VoteHillary ElectionDay MyVote2016 CleanTheRepublicanSwamp",1
"Politics133","We have PerezLocal10 watching Senate results from the marcorubio camp today Senate florida WPLGLocal10… httpstcoHra2cTJWAK",0
"Politics134","We have TVTerrell watching Senate results from the patrickmurphy camp today Senate florida WPLGLocal10… httpstcoJlcSxKFgSk",0
"Politics135","httpstcoaVOCRlo7AQ RT httpstcod3K6C6PBTy",0
"Politics136","Lets get out and make sure marcorubio goes back to the senate Marco4thewin flsen httpstcoHQb1acUFxg",1
"Politics137","Jkirk1946James BillKristol my kids are why I am doing this Trump wont get better scotus if congress wrecks in the process",1
"Politics138","Krauthammer New FBI Message Will Have Zero Effect on Hillary Clinton httpstcoxyWAgHqLoR",0
"Politics139","Will he wont he CWG wants reluctant Rahul Gandhi to take over Congresss reigns httpstcocsC26bVnHi",1
"Politics140","guacamolly55 Im also a mathematics minor Its unlikely it will pass in congress but if it does it will be a disaster for our country",1
"Politics141","CNNTonight donlemon and the FBI will not arrest anyone who RISKS our National Security or lies to congress httpstco46OxTVHvrb",0
"Politics142","Will he wont he CWG wants reluctant Rahul Gandhi to take over Congresss reigns httpstcoAxU1E9JhFX",0
"Politics143","subratothayal thekernelspeaks so can u tell me about congresss work of 60 years goverment rule If u have answer so just tell me",0
"Politics144","I dont want Marcos to be buried at LNMB too But congress has not produced any law that prohibits dictators from being buried there",0
"Politics145","Congress Protect pet owners in their time of need httpstcoV923TJpEuJ via Change",0
"Politics146","Thats the one Its complicated and hurts my brain httpstcoOe4Tptby49",0
"Politics147","breadami If you cant tell me the difference between the House the Senate and Congress dont vote",1
"Politics148","It Was 100 Years Ago Today This is the story behind the election of the first woman in the US Congress httpstco33YitKV1UV ImWithHer",0
"Politics149","ImVotingBecause we have the power to vote out 88 of the least productive Congress in history  vote in changemak… httpstcoE8CmLGzPSi",1
"Politics150","Esteemed Faculty Guest Dr Sozer Attends ISAPS Congress in Kyoto Japan httpstcounewBo9INH",0
"Politics151","Esteemed Faculty Guest Dr Sozer Attends ISAPS Congress in Kyoto Japan httpstcoHmdCETmRKY",0
"Politics152","ImVotingBecause we need a Congress that does its constitutional duty to confirm a SupremeCourt justice  not partisan obstructionists",1
"Politics153","Total of 4 more votes for DrJillStein ajamubaraka Tyler Vega for Congress amp progressivesnn GreenPartyUS… httpstcotL3RrPsyK9",0
"Politics154","Something needs to change within our CongressHouse not our presidents",1
"Politics155","davidfrum Congress",0
"Politics156","HuffingtonPost Senator Murphy Congress needs to question USA current part in Yemen war ElectionFinalThoughts httpstcoPhk9AM6piD",0
"Politics157","Kontrahdiction 37 JANUARY 6th the electoral college will announce its winner to congress On January 20th the new president is sworn in",0
"Politics158","Esteemed Faculty Guest Dr Sozer Attends ISAPS Congress in Kyoto Japan httpstcoQLKyJRZ8Op",0
"Politics159","Esteemed Faculty Guest Dr Sozer Attends ISAPS Congress in Kyoto Japan httpstcoB6lQ9Jol8p",0
"Politics160","Esteemed Faculty Guest Dr Sozer Attends ISAPS Congress in Kyoto Japan httpstcoRI7gHDKMiL",0
"Politics161","Esteemed Faculty Guest Dr Sozer Attends ISAPS Congress in Kyoto Japan httpstcoTqlE0L69Da",0
"Politics162","andymoeller dhopediamond million ILLEGALs 3 Trump wants term limits for Congress thats a great idea for BOTH sides 4 Repeal amp",0
"Politics163","😂😂😂 httpstcof595pVtzbg",0
"Politics164","Go ahead Pappu Destroy Congress Party nnhttpstcouz4BjeL6pWnnCongressMukthBharat",0
"Politics165","The US Elected The First Woman To Congress 100 Years Ago httpstcoWQQ0liuXX9",0
"Politics166","I feel like our president is our Governments political dummy that the people can blame when things dont work out when its really congress",1
"Politics167","SenSanders can we also have term term limits for congress as well 18 years maximum 3 Senate terms 9 House terms You can stay 4ever tho",0
"Politics168","Will SINK NOW Wont SurviveDisasatorous HOLEThe SINKING BOAT of SCAMFUL CONg is Breathing their last DoomTho… httpstcoW90Lq9r4g0",0
"Politics169","Kejriwal has a very powerful machine behind him to finish what Congress could not in 1984 Sikhs Singh Punjab… httpstcokgEByCv7ur",0
"Politics170","khushsundar who made noise only congress",0
"Politics171","And at the polls httpstcomoNrs0wgrR",0
"Politics172","BDUTT sardesairajdeep Part of another set of Congress stooges established nurtured by RajivG amp Congress party eve… httpstcoP794kYHwFK",0
"Politics173","Go ahead Pappu Destroy Congress Party nnhttpstcocQRrul3DXBnnCongressMukthBharat",0
"Politics174","TreyGowdy RIPS HillaryClintonThen Says Congress is Powerless httpstcoWFR07z0lNJ",0
"Politics175","The US is currently bombing 7 different countries The current total number of wars approved by Congress zero httpstco4dTivx1a4Q",0
"Politics176","The AAP Congress shenanigans are hurting the country Is there a tacit understanding with antinational elements… httpstcojRFLNWFold",0
"Politics177","RNC letter to the FBl httpstcoEaLllmdIga",0
"Politics178","jaketapper AnnCoulter Reconvene the Continental Congress I mean who cant get with this very American notion",0
"Politics179","Cause no ted on ballot we voted McMullincalif has 2 dems for us senate 0 vote there duncan hunter 4 congress don… httpstco8GxKGlQlR1",1
"Politics180","Democrats see FBI controversy hurting chances in US Congress races WASHINGTON Reuters  Senior… httpstcouairm57Ivr hotnews",0
"Politics181","Former Stripper Is Running For Congress INSIGHTS  Elite Daily WATCH at httpstcohfhFiJf5Nt httpstcoXOl86j1CtO",0
"Politics182","Third Continental Congress 4 guidance is an idea whose time has come Thank you for bringing it forward giving us… httpstcokDWwqDVAuJ",0
"Politics183","ImVotingBecause Congress works for us and not special interest groups We need TermLimits httpstcoz0ix6Lvh4P",1
"Politics184","It never actually ends httpstcotNRuosd451",0
"Politics185","All Dems MUST vote this Nov to turn Congress Blue to STOP another 4 yrs of BLOCKING PROGRESS or GOP WILL be a DO NOTHING CONGRESS AGAIN",1
"Politics186","KINGof334MOBB same but whoever is presidents usually laws have to be passed by congress",0
"Politics187","FYI We wont 100 know who our next President is until January 6th when congress counts electoral votes We might 99 know but not 100",0
"Politics188","Past 80 years SampP500 UP 153 per year under Democratic President and Republicanled Congress… httpstcoeRtxoG42bV",0
"Politics189","UPA without power is a UPROARIOUS bunchamp is blatant critic of similarly of their acts httpstcoa4CjwNt62R",0
"Politics190","CoyoteMyp JakeBCollie The hard part is that Congress has to compromise af on these landmark bills like this",0
"Politics191","Joe Biden tonight You notice every time there is a problem with Congress I get sent to the Hill Tim get ready httpstco0Ycof1OC2R",0
"Politics192","SpeakerRyan You need legislation amp not a pamphlet  That requires more working days for Congress doesnt it",0
"Politics193","Congress party seems to have successfully built a democratic consensus among its hardcore workers for his elevation… httpstcour1LdQzn6h",0
"Politics194","Republican Congress will your party THRIVE or WIMP OUT httpstcoDOtES1pkFa RT TCOT CCOT MakeDCListen TeaParty Conservatives",0
"Politics195","Go vote tomorrow folks Its not just about the presidential race Its your local officials congress etc They d… httpstcoQTeEKac8tK",0
"Politics196","Vote my dawg Isadore Hall for Congress",1
"Politics197","MyBadMatthew well yeah of course but he really cant do anything about the laws and plans he wants to implement if congress doesnt pass it",0
"Politics198","How the FBI Reviewed Thousands of Emails in One Week hillaryclinton congress httpstco7yNhzOZaDF httpstcoIbQw0SScPM",0
"Politics199","MTHist Lets do it again Lets elect denisejuneau to the US Congress  Vote Tuesday Polls are open 7 am to 8 pm DeniseJuneau4Congress",1
"Politics200","i think congress should just release an 18 twitter poll tomorrow and use that for voting",0
