"ID","text","sensibile"
"Health091","Even though Im an adult my face keeps breaking out in pimples",0
"Health092","When I get out of bed in the morning my body feels very weak",0
"Health093","My knee catches and hurts when I first stand up after sitting",0
"Health094","surgical wounds red firing pus painful and hot to the touch",1
"Health095","Feel like something is being jabbed into my joints",0
"Health096","The arches of my feet hurt when I wear heels",0
"Health097","I feel pain in the lower back",0
"Health098","I have a dull ache in my head",0
"Health099","The arches of my feet hurt when I wear heels",0
"Health100","I feel a pain in my neck",0
"Health101","A 23yearold white female presents with complaint of allergies",0
"Health102","Consult for laparoscopic gastric bypass",1
"Health103","Consult for laparoscopic gastric bypass",1
"Health104","2D MMode Doppler",0
"Health105","2D Echocardiogram",0
"Health106","Morbid obesity  Laparoscopic antecolic antegastric RouxenY gastric bypass with EEA anastomosis  This is a 30yearold female who has been overweight for many years  She has tried many different diets but is unsuccessful",1
"Health107","Liposuction of the supraumbilical abdomen revision of right breast reconstruction excision of soft tissue fullness of the lateral abdomen and flankn",1
"Health108","2D Echocardiogram",0
"Health109","Suctionassisted lipectomy  lipodystrophy of the abdomen and thighs",1
"Health110","Echocardiogram and Doppler",0
"Health111","Morbid obesity  Laparoscopic RouxenY gastric bypass antecolic antegastric with 25mm EEA anastamosis esophagogastroduodenoscopy",1
"Health112","Normal left ventricle moderate biatrial enlargement and mild tricuspid regurgitation but only mild increase in right heart pressures",1
"Health113","Cerebral Angiogram  moyamoya disease",1
"Health114","Patient presented to the bariatric surgery service for consideration of laparoscopic roux en Y gastric bypass surgery",1
"Health115","Surgical removal of completely bony impacted teeth 1 16 17 and 32  Completely bony impacted teeth 1 16 17 and 32",1
"Health116","Preoperative visit for weight management with laparoscopic gastric banding",1
"Health117","Neck exploration tracheostomy urgent flexible bronchoscopy via tracheostomy site removal of foreign body tracheal metallic stent material dilation distal trachea placement of 8 Shiley single cannula tracheostomy tube",1
"Health118","Patient status post lap band placement",0
"Health119","Fertile male with completed family  Elective male sterilization via bilateral vasectomy",1
"Health120","The patient is a 17yearold female who presents to the emergency room with foreign body and airway compromise and was taken to the operating room  She was intubated and fishbone",1
"Health121","Whole body radionuclide bone scan due to prostate cancer",1
"Health122","Patient discharged after laparoscopic RouxenY gastric bypass",1
"Health123","Normal vasectomy",0
"Health124","Voluntary sterility  Bilateral vasectomy  The vas deferens was grasped with a vas clamp  Next the vas deferens was skeletonized  It was clipped proximally and distally twice",1
"Health125","Blood in urine  Transitional cell cancer of the bladder",1
"Health126","Normal vasectomy",0
"Health127","Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction",1
"Health128","Umbilical hernia repair template  The umbilical hernia carefully reduced back into the cavity and the fascia was closed with interrupted vertical mattress sutures to approximate the fascia",1
"Health129","Vasectomy 10 years ago failed  Azoospermic  Reversal two years ago  Interested in sperm harvesting and cryopreservation",1
"Health130","Desire for sterility  Vasectomy  The vas was identified skin was incised and no scalpel instruments were used to dissect out the vas",1
"Health131","The patient noted for improving retention of urine postop vaginal reconstruction very concerned of possible vaginal prolapse",1
"Health132","This is a 66yearold male with signs and symptoms of benign prostatic hypertrophy who has had recurrent urinary retention since his kidney transplant  He passed his fill and pull study and was thought to selfcatheterize in the event that he does incur urinary retention again",1
"Health133","Right distal ureteral calculus  The patient had hematuria and a CT urogram showing a 1 cm nonobstructing calcification in the right distal ureter  He had a KUB also showing a teardrop shaped calcification apparently in the right lower ureter",1
"Health134","Umbilical hernia repair A standard curvilinear umbilical incision was made and dissection was carried down to the hernia sac using a combination of Metzenbaum scissors and Bovie electrocautery",1
"Health135","Persistent frequency and urgency in a patient with a history of neurogenic bladder and history of stroke",1
"Health136","Ultrasound examination of the scrotum due to scrotal pain  Duplex and color flow imaging as well as real time grayscale imaging of the scrotum and testicles was performed",1
"Health137","Transurethral resection of a medium bladder tumor TURBT left lateral wall",1
"Health138","Transurethral electrosurgical resection of the prostate for benign prostatic hyperplasia",1
"Health139","Transurethral resection of the bladder tumor TURBT large",1
"Health140","The patient has a possibly torsion detorsion versus other acute testicular problem",1
"Health141","Cystoscopy transurethral resection of medium bladder tumor 40 cm in diameter and direct bladder biopsy",1
"Health142","Left spermatocelectomyepididymectomy and bilateral partial vasectomy  Left spermatocele and family planning",1
"Health143","Left testicular swelling for one day  Testicular Ultrasound  Hypervascularity of the left epididymis compatible with left epididymitis  Bilateral hydroceles",1
"Health144","Salvage cystectomy very difficult due to postradical prostatectomy and postradiation therapy to the pelvis Indiana pouch continent cutaneous diversion and omental pedicle flap to the pelvis",1
"Health145","Spermatocelectomy and orchidopexy",0
"Health146","SPARC suburethral sling due to stress urinary incontinence",1
"Health147","Left scrotal exploration with detorsion  Already detorsed bilateral testes fixation and bilateral appendix testes cautery",1
"Health148","Cystoscopy under anesthesia retrograde and antegrade pyeloureteroscopy left ureteropelvic junction obstruction difficult and open renal biopsy",1
"Health149","Radical retropubic prostatectomy robotic assisted and bladder suspension  Adenocarcinoma of the prostate",1
"Health150","A 16monthold with history of penile swelling for 4 days had circumcision 1 week ago",1
"Health151","Radical retropubic prostatectomy with pelvic lymph node dissection due to prostate cancer",1
"Health152","Radical retropubic nervesparing prostatectomy without lymph node dissection",1
"Health153","A 65yearold man with chronic prostatitis returns for recheck",1
"Health154","Adenocarcinoma of the prostate Erectile dysfunction  History  Physical",1
"Health155","Prostate Brachytherapy  Prostate I125 Implantation",0
"Health156","Right ureteropelvic junction obstruction  Roboticassisted pyeloplasty anterograde right ureteral stent placement transposition of anterior crossing vessels on the right and nephrolithotomy",1
"Health157","Cystourethroscopy right retrograde pyelogram and right doubleJ stent placement 22 x 45 mm  Right ureteropelvic junction calculus",1
"Health158","Open radical retropubic prostatectomy with bilateral lymph node dissection",1
"Health159","The patient returns for followup evaluation 21 months after undergoing prostate fossa irradiation for recurrent Gleason 8 adenocarcinoma    Concerning slow ongoing rise in PSA",1
"Health160","Prostate gland showing moderately differentiated infiltrating adenocarcinoma  Excised prostate including capsule pelvic lymph nodes seminal vesicles and small portion of bladder neck",1
"Health161","Moderately differentiated adenocarcinoma 1 enlarged prostate with normal seminal vesicles",1
"Health162","Patient presents to the Emergency Department with complaint of a bleeding bump on his penis",0
"Health163","Explantation of inflatable penile prosthesis and then placement of second inflatable penile prosthesis AMS700  Nonfunctioning inflatable penile prosthesis and Peyronies disease",1
"Health164","Excision of penile skin bridges about 2 cm in size",1
"Health165","Adenocarcinoma of the prostate  The patient underwent a transrectal ultrasound and biopsy and was found to have a Gleason 34 for a score of 7 20 of the tissue removed from the left base",1
"Health166","Complete urinary obstruction underwent a transurethral resection of the prostate  adenocarcinoma of the prostate",1
"Health167","Moderate to poorly differentiated adenocarcinoma in the right lobe and poorly differentiated tubular adenocarcinoma in the left lobe of prostate",1
"Health168","Penile discharge infectedlooking glans  A 67yearold male with multiple comorbidities with penile discharge and paleappearing glans It seems that the patient has had multiple catheterizations recently and has history of peripheral vascular disease",1
"Health169","Penile injury and continuous bleeding from a penile laceration",1
"Health170","The patient is a 16monthold boy who had a circumcision performed approximately 4 days before he developed penile swelling and fever and discharge",1
"Health171","He continues to have abdominal pain and he had a diuretic renal scan which indicates no evidence of obstruction and good differential function bilaterally",1
"Health172","Prostate adenocarcinoma and erectile dysfunction  Pathology report",1
"Health173","Right undescended testicle  Orchiopexy  Herniorrhaphy",1
"Health174","Overactive bladder with microscopic hematuria",1
"Health175","Reduction of paraphimosis",1
"Health176","Left inguinal hernia repair left orchiopexy with 025 Marcaine ilioinguinal nerve block and wound block at 05 Marcaine plain",1
"Health177","Right orchiopexy and right inguinal hernia repair",1
"Health178","Bilateral orchiopexy  This 8yearold boy has been found to have a left inguinally situated undescended testes  Ultrasound showed metastasis to be high in the left inguinal canal  The right testis is located in the right inguinal canal on ultrasound and apparently ultrasound could not be displaced into the right hemiscrotum",1
"Health179","Examination under anesthesia diagnostic laparoscopy right orchiectomy and left testis fixation",1
"Health180","Orchiopexy  inguinal herniorrhaphy",1
"Health181","Bilateral scrotal orchiectomy",1
"Health182","A 6mm left intrarenal stone nonobstructing by ultrasound and IVP",1
"Health183","Stage I and II neuromodulator",0
"Health184","Minilaparotomy radical retropubic prostatectomy with bilateral pelvic lymph node dissection with Cavermap  Adenocarcinoma of the prostate",1
"Health185","An exampletemplate for meatotomy",0
"Health186","Neurogenic bladder in a patient catheterizing himself 3 times a day changing his catheter 3 times a week",1
"Health187","Left orchiectomy scrotal exploration right orchidopexy",1
"Health188","Left orchiopexy  Ectopic left testis   The patient did have an MRI which confirmed ectopic testis located near the pubic tubercle",1
"Health189","Examination under anesthesia and laparoscopic right orchiopexy",1
"Health190","An exampletemplate for meatoplasty",0
"Health191","Laparoscopic lysis of adhesions attempted laparoscopic pyeloplasty and open laparoscopic pyeloplasty  Right ureteropelvic junction obstruction severe intraabdominal adhesions and retroperitoneal fibrosis",1
"Health192","Bassini inguinal herniorrhaphy  A standard inguinal incision was made and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery",1
"Health193","Laparoscopic right inguinal herniorrhaphy with mesh as well as a circumcision   Recurrent right inguinal hernia as well as phimosis",1
"Health194","Left inguinal herniorrhaphy modified Bassini  Left inguinal hernia direct",1
"Health195","Cystopyelogram and laser vaporization of the prostate",0
"Health196","Direct inguinal hernia  Rutkow direct inguinal herniorrhaphy  A standard inguinal incision was made and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery",1
"Health197","Inguinal herniorrhaphy  A standard inguinal incision was made and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery",1
"Health198","Inguinal orchiopexy procedure",0
"Health199","Bilateral inguinal hernia  Bilateral direct inguinal hernia repair utilizing PHS system and placement of OnQ pain pump",1
"Health200","Direct right inguinal hernia  Marlex repair of right inguinal hernia",1
